id,Internal Reference,Barcode,Sales Price,Cost
__export__.product_product_130327_917bfb0c,23E4246-12/46,23E424612202546,165.13,0.00
__export__.product_product_130326_e6b9037d,23E4246-4/60,23E424604202560,165.13,0.00
__export__.product_product_130317_03fbf1d6,23E4246-4/58,23E424604202558,165.13,0.00
__export__.product_product_130308_084e9f49,23E4246-4/56,23E424604202556,165.13,0.00
__export__.product_product_130299_447742ac,23E4246-4/54,23E424604202554,165.13,0.00
__export__.product_product_130290_98c6de02,23E4246-4/52,23E424604202552,165.13,0.00
__export__.product_product_130431_09ffacc3,23E4246-12-PAT/56,23E424612202556PT,173.83,0.00
__export__.product_product_130439_2dfedd85,23E4246-12-PAT/58,23E424612202558PT,173.83,0.00
__export__.product_product_130423_64d24389,23E4246-12-PAT/54,23E424612202554PT,173.83,0.00
__export__.product_product_130415_01d3b6cf,23E4246-12-PAT/52,23E424612202552PT,173.83,0.00
__export__.product_product_130407_d1f0e09e,23E4246-12-PAT/50,23E424612202550PT,173.83,0.00
__export__.product_product_130226_443aab04,23E4246-4-PAT/52,23E424604202552PT,173.83,0.00
__export__.product_product_130217_e75e7c13,23E4246-4-PAT/50,23E424604202550PT,173.83,0.00
__export__.product_product_130208_7fe391f3,23E4246-4-PAT/48,23E424604202548PT,173.83,0.00
__export__.product_product_130390_1641bef4,23E4246-12/60,23E424612202560,165.13,0.00
__export__.product_product_129718_81727ce3,23E4246-13-PAT/52,23E424613202552PT,173.83,0.00
__export__.product_product_129726_9e06216f,23E4246-13-PAT/54,23E424613202554PT,173.83,0.00
__export__.product_product_130372_d8723057,23E4246-12/56,23E424612202556,165.13,0.00
__export__.product_product_130381_466b727d,23E4246-12/58,23E424612202558,165.13,0.00
__export__.product_product_130363_5ef92122,23E4246-12/54,23E424612202554,165.13,0.00
__export__.product_product_130354_312dc35a,23E4246-12/52,23E424612202552,165.13,0.00
__export__.product_product_130199_ee6ab420,23E4246-4-PAT/46,23E424604202546PT,173.83,0.00
__export__.product_product_130235_753a03ef,23E4246-4-PAT/54,23E424604202554PT,173.83,0.00
__export__.product_product_130244_8fc725fc,23E4246-4-PAT/56,23E424604202556PT,173.83,0.00
