product_tmpl_id,template_name,variant_count,duplicated_attributes,sample_variant_values
__import__.product_template_cuwme010_439,H. CAMISA CUBAVERA M/C LINO P/CABALLERO AQUA ESQUE,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsd081_963,H. CAMISA CUBAVERA M/C LINO P/CABALLERO BLUE CORAL,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsd064_112,H. CAMISA CUBAVERA M/C LINO P/CABALLERO BRILLIANT WHITE,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsd066_112,H. CAMISA CUBAVERA M/C LINO P/CABALLERO BRILLIANT WHITE (cuwsd066_112),16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsp002_112,H. CAMISA CUBAVERA M/C P/CABALLERO BRILLIANT WHITE,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwfc021_112,H. CAMISA CUBAVERA M/C P/CABALLERO BRILLIANT WHITE (cuwfc021_112),16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsp005_408,H. CAMISA CUBAVERA M/C P/CABALLERO DRESS BLUES,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsp011_022,H. CAMISA CUBAVERA M/C P/CABALLERO JET BLACK,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsp014_467,H. CAMISA CUBAVERA M/C P/CABALLERO MEDITERRANEA B,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsp015_122,H. CAMISA CUBAVERA M/C P/CABALLERO NATURAL LINEN,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_c9hw0034_100d,H. CAMISA CUBAVERA M/L LINO P/CABALLERO BRIGHT WHITE,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwfd027_112,H. CAMISA CUBAVERA M/L LINO P/CABALLERO BRILLIANT WHITE,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_17605bg_dc,H. CAMISA D/P BIG SIZE BRUNO CASSINI BLACK 34-35,100,"Tallax2, Manga de Camisax2","Talla: 18,Talla: 18,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_17604bg_dc,H. CAMISA D/P BIG SIZE BRUNO CASSINI DARK BLUE 32-33,100,"Tallax2, Manga de Camisax2","Talla: 18,Talla: 18,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_17601bg_dc,H. CAMISA D/P BIG SIZE BRUNO CASSINI WHITE 32-33,64,"Tallax2, Manga de Camisax2","Talla: 18,Talla: 18,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_17605dc,H. CAMISA D/P BLACK BRUNO CASSINI 32-33,144,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_8504dc,H. CAMISA D/P BLUE BRUNO CASSINI 32-33,196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_a151_82dc,H. CAMISA D/P BRUNO CASSINI BLACK 32-33,144,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ern_sabat_1259dc,H. CAMISA D/P BRUNO CASSINI WHITE 34-35,256,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_17604dc,H. CAMISA D/P DARK BLUE BRUNO CASSINI 32-33,144,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_8500dc,H. CAMISA D/P WHITE BRUNO CASSINI 32-33,16,"Tallax2, Manga de Camisax2","Talla: 16,Talla: 16,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_17601dc,H. CAMISA D/P WHITE BRUNO CASSINI 32-33 (17601dc),196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_a156_1dc,H. CAMISA D/P WHITE BRUNO CASSINI 32-33 (a156_1dc),100,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_cm0042ryb_f,H. CAMISA FRENCH SHIRT BLUE BRUNO CASSINI,25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cm0042dbu_f,H. CAMISA FRENCH SHIRT DK. BLUE BRUNO CASSINI,25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cm0042dgr_f,H. CAMISA FRENCH SHIRT MINT BRUNO CASSINI,25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cm0044mbu_f,H. CAMISA FRENCH SHIRT PURPLE BRUNO CASSINI,25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cm0044lbu_f,H. CAMISA FRENCH SHIRT SKY BLUE BRUNO CASSINI,25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cm0042mbu_f,H. CAMISA FRENCH SHIRT SKY BLUE BRUNO CASSINI (cm0042mbu_f),25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cm0044wht_f,H. CAMISA FRENCH SHIRT WHITE BRUNO CASSINI,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_8020_4_f,H. CAMISA LINO FRENCH BRUNO CASSINI,25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_8020_106_f,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_106_f),25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_8020_15_f,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_15_f),25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_8020_3_f,H. CAMISA LINO FRENCH BRUNO CASSINI (8020_3_f),25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_2011_23_f,H. CAMISA LINO FRENCH SHIRT BLUE BRUNO CASSINI,25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_2011_55_f,H. CAMISA LINO FRENCH SHIRT OLIVE BRUNO CASSINI,25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_2011_1_f,H. CAMISA LINO FRENCH SHIRT WHITE BRUNO CASSINI,25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_2011_55_n,H. CAMISA LINO NORMAL SHIRT OLIVE BRUNO CASSINI,25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsp007_100,H. CAMISA M/C CUBAVERA BRIGHT WHITE,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwfd002_112,H. CAMISA M/C CUBAVERA BRILLIANT WHITE,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsd012_112,H. CAMISA M/C CUBAVERA BRILLIANT WHITE (cuwsd012_112),16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwfc005_683,H. CAMISA M/C CUBAVERA CANYON CLAY,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsb025_824,H. CAMISA M/C CUBAVERA CORAL ROSE,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsp009_426,H. CAMISA M/C CUBAVERA DELF,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsp001_408,H. CAMISA M/C CUBAVERA DRESS BLUES,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsa020_003,H. CAMISA M/C CUBAVERA JET BLACK,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsp008_412,H. CAMISA M/C CUBAVERA NAVY BLAZER,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsd077_477,H. CAMISA M/C CUBAVERA PARISIAN BLUE,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsd016_555,H. CAMISA M/C CUBAVERA RED VIOLET,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwmd013_482,H. CAMISA M/C CUBAVERA SWIN CAP,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_tl_x04_517_a,H. CAMISA M/C HOMBRE TED LAPIDUS LT. BLUE,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_tl_x04_515_a,H. CAMISA M/C HOMBRE TED LAPIDUS RED,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b04_102s_lc,H. CAMISA M/C LONG BEACH LILAC,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b03_102r_sk,H. CAMISA M/C LONG BEACH SKY,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b03_102r_wh,H. CAMISA M/C LONG BEACH WHITE,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_tl_x03_214a_a,H. CAMISA M/L DK. DENIM TED LAPIDUS,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_tl_x03_214b_a,H. CAMISA M/L LT. DENIM TED LAPIDUS,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_tl_x03_222_a,H. CAMISA M/L MULTICOLOR TED LAPIDUS,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_tl_x03_226_a,H. CAMISA M/L NAVY TED LAPIDUS,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cm0042ryb_n,H. CAMISA NORMAL SHIRT BLUE BRUNO CASSINI,25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cm0042dbu_n,H. CAMISA NORMAL SHIRT BLUE BRUNO CASSINI (cm0042dbu_n),16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cm0044mbu_n,H. CAMISA NORMAL SHIRT PURPLE BRUNO CASSINI,25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cm0044lbu_n,H. CAMISA NORMAL SHIRT SKY BLUE BRUNO CASSINI,25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cm0042mbu_n,H. CAMISA NORMAL SHIRT SKY BLUE BRUNO CASSINI (cm0042mbu_n),25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cm0044wht_n,H. CAMISA NORMAL SHIRT WHITE BRUNO CASSINI,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_ern_llana_1260dc,H. CAMISA P/CABALLERO D/P WHITE BRUNO CASSINI,16,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ern_llana_1260,H. CAMISA P/CABALLERO P/S WHITE BRUNO CASSINI,16,"Tallax2, Manga de Camisax2","Talla: 17,Talla: 17,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_opwb0500_118,H. CAMISA P/H M/C 100% LINO BRIGHT PENGUIN,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_opwb0500_413,H. CAMISA P/H M/C 100% LINO DARK SAPPHIRE PENGUIN,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwme006_439,H. CAMISA P/H M/C AQUA ESQUE CUBAVERA,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b03_101s_bl,H. CAMISA P/H M/C BLACK LONG BEACH,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwme029_112,H. CAMISA P/H M/C BRILLIANT WHITE CUBAVERA,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b03_101ss_nv,H. CAMISA P/H M/C NAVY LONG BEACH,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b03_101s_wh,H. CAMISA P/H M/C WHITE LONG BEACH,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_opwb0400_118,H. CAMISA P/H M/L 100% LINO BRIGHT WHITE PENGUIN,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_opwb0400_413,H. CAMISA P/H M/L 100% LINO DARK SAPPHIRE PENGUIN,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b04_101s_bl,H. CAMISA P/H M/L BLACK LONG BEACH,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b04_102s_ja,H. CAMISA P/H M/L JADE LONG BEACH,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b04_102s_nv,H. CAMISA P/H M/L NAVY LONG BEACH,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b04_101s_sl,H. CAMISA P/H M/L SALMON LONG BEACH,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b04_102s_sk,H. CAMISA P/H M/L SKY LONG BEACH,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b04_101s_wh,H. CAMISA P/H M/L WHITE LONG BEACH,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwf2105_bw_b,H. CAMISA P/HOMBRE M/C BRIGHT WHITE CUBAVERA,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwfa034_022,H. CAMISA P/HOMBRE M/C JET BLACK CUBAVERA,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b04_101s_nv,H. CAMISA P/HOMBRE M/L NAVY LONG BEACH,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_ern_sabat_10,H. CAMISA P/S BIG SIZE BRUNO CASSINI BLACK 34-35,64,"Tallax2, Manga de Camisax2","Talla: 15.5,Talla: 15.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_a151_82bg,H. CAMISA P/S BIG SIZE BRUNO CASSINI BLACK 34-35 (a151_82bg),4,Manga de Camisax2,"Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_17604bg,H. CAMISA P/S BIG SIZE BRUNO CASSINI DARK BLUE 32-33,36,"Tallax2, Manga de Camisax2","Talla: 18,Talla: 18,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_17601bg,H. CAMISA P/S BIG SIZE WHITE BRUNO CASSINI 32-33,144,"Tallax2, Manga de Camisax2","Talla: 17.5,Talla: 17.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_a118_82,H. CAMISA P/S BLACK BRUNO CASSINI 34-35,100,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ht1840_4,H. CAMISA P/S BLUE BRUNO CASSINI 32-33,16,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_a108_3,H. CAMISA P/S BLUE BRUNO CASSINI 32-33 (a108_3),16,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_a158_10,H. CAMISA P/S BLUE BRUNO CASSINI 32-33 (a158_10),196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ht8811_3,H. CAMISA P/S BLUE BRUNO CASSINI 32-33 (ht8811_3),16,"Tallax2, Manga de Camisax2","Talla: 15,Talla: 15,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_a126_4,H. CAMISA P/S BLUE BRUNO CASSINI 34-35,100,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_a108_4,H. CAMISA P/S BLUE BRUNO CASSINI 34-35 (a108_4),100,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_187_22,H. CAMISA P/S BRUNO CASSINI BLUE NAVY 32-33,16,"Tallax2, Manga de Camisax2","Talla: 16.5,Talla: 16.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_4s22008_2,H. CAMISA P/S BRUNO CASSINI BLUE PLAID 34-35,36,"Tallax2, Manga de Camisax2","Talla: 16.5,Talla: 16.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_cm0005lbu,H. CAMISA P/S BRUNO CASSINI LIGHT BLUE 32-33,36,"Tallax2, Manga de Camisax2","Talla: 15.5,Talla: 15.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_8020_3,H. CAMISA P/S BRUNO CASSINI LINO BLACK,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_8020_105,H. CAMISA P/S BRUNO CASSINI LINO BROWN,4,Tallax2,"Talla: M,Talla: M"
__import__.product_template_8020_4,H. CAMISA P/S BRUNO CASSINI LINO NAVY,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_8020_55,H. CAMISA P/S BRUNO CASSINI LINO OLIVO,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_8020_1,H. CAMISA P/S BRUNO CASSINI LINO WHITE,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cm0005mbu,H. CAMISA P/S BRUNO CASSINI M. BLUE 32-33,36,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_1_18,H. CAMISA P/S BRUNO CASSINI PURPLE 32-33,4,Manga de Camisax2,"Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_cm0005pur,H. CAMISA P/S BRUNO CASSINI PURPLE 32-33 (cm0005pur),36,"Tallax2, Manga de Camisax2","Talla: 16,Talla: 16,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ss23101_02,H. CAMISA P/S BRUNO CASSINI SKY BLUE 32-33,36,"Tallax2, Manga de Camisax2","Talla: 15.5,Talla: 15.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_4s22026_2,H. CAMISA P/S BRUNO CASSINI SKY BLUE 32-33 (4s22026_2),64,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_4s22009_2,H. CAMISA P/S BRUNO CASSINI SKY BLUE ROMBO 34-35,16,"Tallax2, Manga de Camisax2","Talla: 15.5,Talla: 15.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ss23101_01,H. CAMISA P/S BRUNO CASSINI WHITE 32-33,16,"Tallax2, Manga de Camisax2","Talla: 16.5,Talla: 16.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ern_sabat_1259,H. CAMISA P/S BRUNO CASSINI WHITE 34-35,36,"Tallax2, Manga de Camisax2","Talla: 15,Talla: 15,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_4s22009_1,H. CAMISA P/S BRUNO CASSINI WHITE 34-35 (4s22009_1),4,Manga de Camisax2,"Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_a108_24,H. CAMISA P/S CORAL BRUNO CASSINI 34-35,196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_nx_bichek_03,H. CAMISA P/S CUADROS BRUNO CASSINI 34-35,36,"Tallax2, Manga de Camisax2","Talla: 15.5,Talla: 15.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_a108_7,H. CAMISA P/S LIGHT BLUE BRUNO CASSINI 32-33,64,"Tallax2, Manga de Camisax2","Talla: 15,Talla: 15,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_a126_3,H. CAMISA P/S LIGHT BLUE BRUNO CASSINI 34-35,64,"Tallax2, Manga de Camisax2","Talla: 15,Talla: 15,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_a158_3,H. CAMISA P/S LIGHT BLUE BRUNO CASSINI 34-35 (a158_3),4,Manga de Camisax2,"Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_str3,H. CAMISA P/S LINEN LIGHT BLUE BRUNO CASSINI 34-35,64,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_a126_10,H. CAMISA P/S PURPLE BRUNO CASSINI 32-33,144,"Tallax2, Manga de Camisax2","Talla: 15,Talla: 15,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ht8811_2,H. CAMISA P/S ROSE BRUNO CASSINI 34-35,196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ht1965_2,H. CAMISA P/S SQUARE BLUE BRUNO CASSINI 34-35,144,"Tallax2, Manga de Camisax2","Talla: 15,Talla: 15,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ht2082_3,H. CAMISA P/S SQUARE BLUE BRUNO CASSINI 34-35 (ht2082_3),196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ht1739_5,H. CAMISA P/S STRIPE BLUE BRUNO CASSINI 34-35,36,"Tallax2, Manga de Camisax2","Talla: 16.5,Talla: 16.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ht2081_3,H. CAMISA P/S WHITE BRUNO CASSINI 32-33,196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_a108_1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33 (a108_1),196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_a156_1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33 (a156_1),144,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_a163_1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33 (a163_1),196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ht1840_1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33 (ht1840_1),196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ht2231_1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33 (ht2231_1),196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ht2231_7,H. CAMISA P/S WHITE BRUNO CASSINI 32-33 (ht2231_7),196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ht8811_1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33 (ht8811_1),196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ht2102_81,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_a151_1,H. CAMISA P/S WHITE BRUNO CASSINI 34-35 (a151_1),100,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ht1840_2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35 (ht1840_2),196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_17601_sk,H. CAMISA P/SMOKING WHITE BRUNO CASSINI 32-33,196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_opwb1101_670,H. CAMISA POPLIN M/L P/HOMBRE PENGUIN VEILED ROSE,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cmst_cv_b90_001rd,H. CAMISETA CARVEN RED CARVEN,4,Tallax2,"Talla: S,Talla: S"
__import__.product_template_tl_x30_513c_a,H. CAMISETA M/C HOMBRE TED LAPIDUS GREEN,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_tl_x30_513a_a,H. CAMISETA M/C HOMBRE TED LAPIDUS PINK,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_tl_x30_513b_a,H. CAMISETA M/C HOMBRE TED LAPIDUS YELLOW,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_c9hw0034_022,H. GUAYABERA CUBAVERA LINO P/CABALLERO JET BLACK,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_pt_cv_t11_031_nv,H. PANTALON P/CABALLERO CARVEN,64,Tallax2,"Talla: 30,Talla: 30"
__import__.product_template_pt_cv_b90_001rd,H. PANTALON P/CABALLERO CARVEN (pt_cv_b90_001rd),4,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cb_h21_003ka,H. PANTALON P/HOMBRE CUBAVERA BANANA CREPE,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cb_h21_003nv,H. PANTALON P/HOMBRE CUBAVERA BLUE PRINT,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cb_sp21_003bw,H. PANTALON P/HOMBRE CUBAVERA BRIGHT WHITE,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_a31_243s_bl,H. POLO LONG BEACH M/C P/CABALLERO BLACK,4,Tallax2,"Talla: L,Talla: L"
__import__.product_template_lbpc_b31_101s_bl,H. POLO LONG BEACH M/C P/CABALLERO BLACK (lbpc_b31_101s_bl),16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_a31_243s_hch,H. POLO LONG BEACH M/C P/CABALLERO CHARCOAL,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_a31_243s_chrr,H. POLO LONG BEACH M/C P/CABALLERO CHERRY,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b31_101s_chrr,H. POLO LONG BEACH M/C P/CABALLERO CHERRY (lbpc_b31_101s_chrr),16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b31_101s_in,H. POLO LONG BEACH M/C P/CABALLERO INDIGO,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b31_101s_iv,H. POLO LONG BEACH M/C P/CABALLERO IVORY,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b31_101s_ge,H. POLO LONG BEACH M/C P/CABALLERO KELLY GREEN,16,Tallax2,"Talla: S,Talla: S"
