product_tmpl_id,template_name,variant_count,duplicated_attributes,sample_variant_values
__import__.product_template_cuwsp501_100s,CAMISA P/H M/C WHITE CUBAVERA,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_b03_102s_wh,CAMISA P/H M/C WHITE LONG BEACH,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwf2111_118,CAMISA P/H M/L BRIGHT WHITE CUBAVERA,25,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwbp0035_454,CAMISA P/H M/L CASHEMERE BLUE CUBAVERA,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_d04_207s_dkol,CAMISA P/H M/L DK. OLIVE LONG BEACH,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_d04_213s_nv,CAMISA P/H M/L NAVY LONG BEACH,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cuwsf025_477,CAMISA P/H M/L PARISIAN BLUE CUBAVERA,16,Tallax2,"Talla: S,Talla: S"
__import__.product_template_lbpc_d04_216s_wh,CAMISA P/H M/L WHITE LONG BEACH,4,Tallax2,"Talla: M,Talla: M"
__import__.product_template_lbpc_d04_217s_wh,CAMISA P/H M/L WHITE LONG BEACH (lbpc_d04_217s_wh),9,Tallax2,"Talla: M,Talla: M"
__import__.product_template_cha_milano_azul,CHALECO MILANO AZUL,9,Tallax2,"Talla: XS,Talla: XS"
__import__.product_template_cha_milano_beige,CHALECO MILANO BEIGE,25,Tallax2,"Talla: XS,Talla: XS"
__import__.product_template_cha_milano_blanco,CHALECO MILANO BLANCO,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cha_milano_pr,CHALECO MILANO PRINT,16,Tallax2,"Talla: XS,Talla: XS"
__import__.product_template_set_julia,CONJUNTO / VESTIR,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cj_alana_crm,CONJUNTO ALANA CREMA,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_set_carlota_consig,CONJUNTO ESTAMPADO ROJO,4,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cj_paula_crm,CONJUNTO PAULA CREMA,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_cj_pia_skb,CONJUNTO PIA SKY BLUE MOPA,4,Tallax2,"Talla: S,Talla: S"
__import__.product_template_11303,Camisa 11303,196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_11304,Camisa 11304,196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_11704,Camisa 11704,196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_1509,Camisa 1509,196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_16301,Camisa 16301,100,"Tallax2, Manga de Camisax2","Talla: 15.5,Talla: 15.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_16318,Camisa 16318,16,"Tallax2, Manga de Camisax2","Talla: 15.5,Talla: 15.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_16701,Camisa 16701,196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_17601,Camisa 17601,100,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_18001,Camisa 18001,196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_200,Camisa 200,144,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_30201,Camisa 30201,100,"Tallax2, Manga de Camisax2","Talla: 15.5,Talla: 15.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_5010,Camisa 5010,144,"Tallax2, Manga de Camisax2","Talla: 15,Talla: 15,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_5011,Camisa 5011,144,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_5207,Camisa 5207,64,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_5252,Camisa 5252,16,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_5305,Camisa 5305,36,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_6901,Camisa 6901,16,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_8500,Camisa 8500,100,"Tallax2, Manga de Camisax2","Talla: 15.5,Talla: 15.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_8502,Camisa 8502,196,"Tallax2, Manga de Camisax2","Talla: 14.5,Talla: 14.5,Manga de Camisa: S1 - 32/33,Manga de Camisa: S1 - 32/33"
__import__.product_template_ch_25b231291_1,Chaleco CH-25B231291-1,49,Tallax2,"Talla: 46,Talla: 46"
__import__.product_template_ch_25c0905_101,Chaleco CH-25C0905-101,49,Tallax2,"Talla: 46,Talla: 46"
__import__.product_template_ch_25c0905_25,Chaleco CH-25C0905-25,25,Tallax2,"Talla: 46,Talla: 46"
__import__.product_template_ch_25c29118_13,Chaleco CH-25C29118-13,49,Tallax2,"Talla: 46,Talla: 46"
__import__.product_template_ch_25c29375_56,Chaleco CH-25C29375-56,49,Tallax2,"Talla: 46,Talla: 46"
__import__.product_template_ch_25c35289_93,Chaleco CH-25C35289-93,49,Tallax2,"Talla: 46,Talla: 46"
__import__.product_template_0050_23,Corbata #0050/23,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_bw3497_18,Corbata BW3497/18,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_bw3966_10,Corbata BW3966/10,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_bw3966_17,Corbata BW3966/17,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_bw4624_618,Corbata BW4624/618,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_bw4624_626,Corbata BW4624/626,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_bw4624_641,Corbata BW4624/641,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
