External ID,Internal Reference,match_failure_reason
product_template_pin_a01_arn,PIN-A01-ARN,No matching product.product in Odoo export
product_template_pin_a01_bge,PIN-A01-BGE,No matching product.product in Odoo export
product_template_5010,5010,No matching product.product in Odoo export
product_template_finebluerefl_500w,FINEBLUEREFL-500W,No matching product.product in Odoo export
product_template_car_lana_bge,CAR-LANA-BGE,No matching product.product in Odoo export
product_template_jgo_ar_cad,JGO-AR-CAD,No matching product.product in Odoo export
product_template_gaf_68009_ysl,GAF-68009-YSL,No matching product.product in Odoo export
product_template_gaf_9861_cha,GAF-9861-CHA,No matching product.product in Odoo export
product_template_gaf_6047_cha,GAF-6047-CHA,No matching product.product in Odoo export
product_template_gaf_m9146_vers,GAF-M9146-VERS,No matching product.product in Odoo export
product_template_bat_12v_250ah,BAT-12v-250AH,No matching product.product in Odoo export
product_template_c_cuero_barona_cof,C/CUERO-BARONA-COF,No matching product.product in Odoo export
product_template_correa_ca_lisa,CORREA-CA-LISA,No matching product.product in Odoo export
product_template_correa_ta_lisa,CORREA-TA-LISA,No matching product.product in Odoo export
product_template_pin_a01_pur,PIN-A01-PUR,No matching product.product in Odoo export
product_template_cebat_7568,CEBAT-7568,No matching product.product in Odoo export
product_template_pin_a01_cof,PIN-A01-COF,No matching product.product in Odoo export
product_template_pin_a01_mo,PIN-A01-MO,No matching product.product in Odoo export
product_template_23549_gaf_fendi,23549-GAF-FENDI,No matching product.product in Odoo export
product_template_bra_25,BRA-25,No matching product.product in Odoo export
product_template_ar_25,AR-25,No matching product.product in Odoo export
product_template_ar_06,AR-06,No matching product.product in Odoo export
product_template_ar_001,AR-001,No matching product.product in Odoo export
product_template_ar_002,AR-002,No matching product.product in Odoo export
product_template_car_coach_bge,CAR-COACH-BGE,No matching product.product in Odoo export
product_template_car_coach_kha,CAR-COACH-KHA,No matching product.product in Odoo export
product_template_car_sm_bge,CAR-SM-BGE,No matching product.product in Odoo export
product_template_car_guess_kha,CAR-GUESS-KHA,No matching product.product in Odoo export
product_template_pan_celes,PAN-CELES,No matching product.product in Odoo export
product_template_pin_flor_var,PIN-FLOR-VAR,No matching product.product in Odoo export
product_template_142828,142828,No matching product.product in Odoo export
product_template_142107,142107,No matching product.product in Odoo export
product_template_142106,142106,No matching product.product in Odoo export
product_template_pul_ap_mtl,PUL-AP-MTL,No matching product.product in Odoo export
product_template_pul_mont_blanc_mtl,PUL-MONT BLANC-MTL,No matching product.product in Odoo export
product_template_pul_mtl_var,PUL-MTL-VAR,No matching product.product in Odoo export
product_template_pul_prada_trz,PUL-PRADA-TRZ,No matching product.product in Odoo export
product_template_pul_mont_blanc_trz,PUL-MONT BLANC-TRZ,No matching product.product in Odoo export
product_template_pul_mont_blanc_dtrz,PUL-MONT BLANC-DTRZ,No matching product.product in Odoo export
product_template_pul_rolex_cra,PUL-ROLEX-CRA,No matching product.product in Odoo export
product_template_gem_mont_blanc_pl,GEM-MONT BLANC-PL,No matching product.product in Odoo export
product_template_gem_mont_blanc_gold,GEM-MONT BLANC-GOLD,No matching product.product in Odoo export
product_template_gem_mont_blanc_ors,GEM-MONT BLANC-ORS,No matching product.product in Odoo export
product_template_58010_gaf_bur,58010-GAF-BUR,No matching product.product in Odoo export
product_template_6059_gaf_di,6059-GAF-DI,No matching product.product in Odoo export
product_template_gg2601s_gaf_gucci,GG2601S-GAF-GUCCI,No matching product.product in Odoo export
product_template_suspender_men_dis_azl,SUSPENDER-MEN-DIS/AZL,No matching product.product in Odoo export
product_template_suspender_men_dis_rdaz,SUSPENDER-MEN-DIS/RDAZ,No matching product.product in Odoo export
product_template_suspender_men_dis_blk,SUSPENDER-MEN-DIS/BLK,No matching product.product in Odoo export
product_template_mues_001,MUES-001,No matching product.product in Odoo export
product_template_mebl_02,MEBL-02,No matching product.product in Odoo export
product_template_mebl_01,MEBL-01,No matching product.product in Odoo export
product_template_cha_milano_beige_4xl,CHA-MILANO BEIGE-4XL,No matching product.product in Odoo export
product_template_pant_milano_beige_4xl,PANT-MILANO BEIGE-4XL,No matching product.product in Odoo export
product_template_suspender_men_camisa,SUSPENDER-MEN-CAMISA,No matching product.product in Odoo export
product_template_pb_6323,PB-6323,No matching product.product in Odoo export
product_template_pb_2508,PB-2508,No matching product.product in Odoo export
product_template_pb_1333,PB-1333,No matching product.product in Odoo export
product_template_pb_1937,PB-1937,No matching product.product in Odoo export
product_template_pb_1728,PB-1728,No matching product.product in Odoo export
product_template_pb_7310,PB-7310,No matching product.product in Odoo export
product_template_levas_cv,LEVAS-CV,No matching product.product in Odoo export
product_template_78001_gaf,78001-GAF,No matching product.product in Odoo export
product_template_c_mont_blanc_2,C/MONT BLANC-2,No matching product.product in Odoo export
product_template_c_mont_blanc_1,C/MONT BLANC-1,No matching product.product in Odoo export
product_template_gg0859_gaf,GG0859-GAF,No matching product.product in Odoo export
product_template_6013_gaf,6013-GAF,No matching product.product in Odoo export
product_template_8213_gaf,8213-GAF,No matching product.product in Odoo export
product_template_r5481n_gaf,R5481N-GAF,No matching product.product in Odoo export
product_template_6021_gaf,6021-GAF,No matching product.product in Odoo export
product_template_6010_gaf,6010-GAF,No matching product.product in Odoo export
product_template_pan_turquesa,PAN-TURQUESA,No matching product.product in Odoo export
product_template_maleta_skayway,MALETA-SKAYWAY,No matching product.product in Odoo export
product_template_pul_25,PUL-25,No matching product.product in Odoo export
product_template_sujet_camisa,SUJET-CAMISA,No matching product.product in Odoo export
product_template_z_3125_pl_39,Z-3125-PL-39,No matching product.product in Odoo export
product_template_z_3125_pl_37,Z-3125-PL-37,No matching product.product in Odoo export
product_template_z_3130_pl_37,Z-3130-PL-37,No matching product.product in Odoo export
product_template_c_barona24,C/BARONA24,No matching product.product in Odoo export
product_template_c_ferragamo_1,C/FERRAGAMO-1,No matching product.product in Odoo export
product_template_c_ferragamo,C/FERRAGAMO,No matching product.product in Odoo export
product_template_cr_25,CR-25,No matching product.product in Odoo export
product_template_cr_23,CR-23,No matching product.product in Odoo export
product_template_car_marc_jacobs,CAR-MARC JACOBS,No matching product.product in Odoo export
product_template_jeans_431f309n_4,JEANS-431F309N/4,No matching product.product in Odoo export
product_template_car_christian_dior,CAR-CHRISTIAN DIOR,No matching product.product in Odoo export
product_template_car_meikang,CAR-MEIKANG,No matching product.product in Odoo export
product_template_smu11ws,SMU11WS,No matching product.product in Odoo export
product_template_sf1044,SF1044,No matching product.product in Odoo export
product_template_gem_gucci,GEM-GUCCI,No matching product.product in Odoo export
product_template_ar_10_wff,AR-10 WFF,No matching product.product in Odoo export
product_template_gaf_porche_design,GAF-PORCHE DESIGN,No matching product.product in Odoo export
product_template_t1653,T1653,No matching product.product in Odoo export
product_template_t1532,T1532,No matching product.product in Odoo export
product_template_r679,R679,No matching product.product in Odoo export
product_template_maletin_mont_blanc,MALETIN -MONT BLANC,No matching product.product in Odoo export
product_template_gem_bulgari,GEM-BULGARI,No matching product.product in Odoo export
product_template_gem_mont_blanc,GEM-MONT BLANC,No matching product.product in Odoo export
product_template_pul_versage,PUL-VERSAGE,No matching product.product in Odoo export
product_template_pul_hermes,PUL-HERMES,No matching product.product in Odoo export
product_template_pul_rolex,PUL-ROLEX,No matching product.product in Odoo export
product_template_pul_louis_vuitton,PUL-LOUIS VUITTON,No matching product.product in Odoo export
product_template_pul_ferragamo,PUL-FERRAGAMO,No matching product.product in Odoo export
product_template_pul_armani,PUL-ARMANI,No matching product.product in Odoo export
product_template_pul_steffano,PUL-STEFFANO,No matching product.product in Odoo export
product_template_pul_montblanc,PUL-MONTBLANC,No matching product.product in Odoo export
product_template_car_clavelina,CAR-CLAVELINA,No matching product.product in Odoo export
product_template_cart_fendy,CART-FENDY,No matching product.product in Odoo export
product_template_cart_marc_jacobs,CART-MARC JACOBS,No matching product.product in Odoo export
product_template_c_kerly,C/KERLY,No matching product.product in Odoo export
product_template_bl_carolina,BL-CAROLINA,No matching product.product in Odoo export
