source_sku,source_id,source_name,attempted_attribute,attempted_value,reason
SL-037,,H. CORBATA P/CABALLEROS AMARILLO LABRADO,Ancho Corbata,37 cm,Value not found in Odoo catalog
SL-034,,H. CORBATA P/CABALLEROS NEGRO PUNTOS BLANCO,Ancho Corbata,34 cm,Value not found in Odoo catalog
SL-041,,H. CORBATA P/CABALLEROS AZUL LABRADO,Ancho Corbata,41 cm,Value not found in Odoo catalog
SL-040,,H. CORBATA P/CABALLEROS PERLA LABRADO,Ancho Corbata,40 cm,Value not found in Odoo catalog
SL-047,,H. CORBATA P/CABALLEROS LILA LABRADA,Ancho Corbata,47 cm,Value not found in Odoo catalog
SL-044,,H. CORBATA P/CABALLEROS VINO APLIQUE CUADROS,Ancho Corbata,44 cm,Value not found in Odoo catalog
SL-043,,H. CORBATA P/CABALLEROS BLANCO PUNTOS NEGROS,Ancho Corbata,43 cm,Value not found in Odoo catalog
SL-011,,H. CORBATA P/CABALLEROS NEGRA LABRADO,Ancho Corbata,11 cm,Value not found in Odoo catalog
SL-028,,H. CORBATA P/CABALLEROS LILA LABRADA,Ancho Corbata,28 cm,Value not found in Odoo catalog
SL-032,,H. CORBATA P/CABALLEROS BLANCA PUNTOS ROMBO,Ancho Corbata,32 cm,Value not found in Odoo catalog
SL-033,,H. CORBATA P/CABALLEROS SALMON,Ancho Corbata,33 cm,Value not found in Odoo catalog
SL-019,,H. CORBATA P/CABALLEROS AMARILLO PUNTOS ROMBO,Ancho Corbata,19 cm,Value not found in Odoo catalog
SL-022,,H. CORBATA P/CABALLEROS CELESTE PUNTO ROMBO,Ancho Corbata,22 cm,Value not found in Odoo catalog
SL-031,,H. CORBATA P/CABALLEROS NEGRA LABRADA,Ancho Corbata,31 cm,Value not found in Odoo catalog
SL-013,,H. CORBATA P/CABALLEROS VINO LABRADA,Ancho Corbata,13 cm,Value not found in Odoo catalog
SL-012,,H. CORBATA P/CABALLEROS AZUL MARINO LABRADO,Ancho Corbata,12 cm,Value not found in Odoo catalog
SL-016,,H. CORBATA P/CABALLEROS NEGRA PUNTOS ROMBO,Ancho Corbata,16 cm,Value not found in Odoo catalog
SL-025,,H. CORBATA P/CABALLEROS MORADA LABRADA,Ancho Corbata,25 cm,Value not found in Odoo catalog
SL-030,,H. CORBATA P/CABALLEROS NARANJA LLANA,Ancho Corbata,30 cm,Value not found in Odoo catalog
SL-020,,H. CORBATA P/CABALLEROS GRIS PUNTOS ROMBO,Ancho Corbata,20 cm,Value not found in Odoo catalog
SL-021,,H. CORBATA P/CABALLEROS ROSA PUNTOS ROMBO,Ancho Corbata,21 cm,Value not found in Odoo catalog
SL-017,,H. CORBATA P/CABALLEROS ROJA PUNTOS ROMBO,Ancho Corbata,17 cm,Value not found in Odoo catalog
