source_sku,source_id,source_name,attempted_attribute,attempted_value,reason
IW-3392,,M. CORREA P/DAMA VARIOS MODELOS,Talla,3392,Value not found in Odoo catalog
IW-34001,,M. CORREA P/DAMA VARIOS MODELOS,Talla,34001,Value not found in Odoo catalog
IW-38002,,M. CORREA P/DAMA VARIOS MODELOS,Talla,38002,Value not found in Odoo catalog
IW-3322,,M. CORREA P/DAMA VARIOS MODELOS,Talla,3322,Value not found in Odoo catalog
IW-3342,,M. CORREA P/DAMA VARIOS MODELOS,Talla,3342,Value not found in Odoo catalog
IW-2712,,M. CORREA P/DAMA VARIOS MODELOS,Talla,2712,Value not found in Odoo catalog
IW-2753,,M. CORREA P/DAMA VARIOS MODELOS,Talla,2753,Value not found in Odoo catalog
IW-22185,,M. CORREA P/DAMA VARIOS MODELOS,Talla,22185,Value not found in Odoo catalog
IW-1718,,M. CORREA P/DAMA VARIOS MODELOS,Talla,1718,Value not found in Odoo catalog
IW-1789,,M. CORREA P/DAMA VARIOS MODELOS,Talla,1789,Value not found in Odoo catalog
IW-2428,,M. CORREA P/DAMA VARIOS MODELOS,Talla,2428,Value not found in Odoo catalog
P1345/5,,Terno P1345,Talla,5,Value not found in Odoo catalog
P1345/3,,Terno P1345,Talla,3,Value not found in Odoo catalog
P1345/1,,Terno P1345,Talla,1,Value not found in Odoo catalog
Z-2526DFV/37,,Terno Z-2526DFV,Talla,37,Value not found in Odoo catalog
Z-2475DFV/37,,Terno Z-2475DFV,Talla,37,Value not found in Odoo catalog
Z-6729LAMOD/37,,Terno Z-6729LAMOD,Talla,37,Value not found in Odoo catalog
Z-SD223DAVI/37,,Terno Z-SD223DAVI,Talla,37,Value not found in Odoo catalog
NK-N-9413,,BISUTERIA P/DAMA VARIOS MODELOS,Talla,9413,Value not found in Odoo catalog
NK-N-9285,,BISUTERIA P/DAMA VARIOS MODELOS,Talla,9285,Value not found in Odoo catalog
NK-N-9282,,BISUTERIA P/DAMA VARIOS MODELOS,Talla,9282,Value not found in Odoo catalog
NK-N-3515,,BISUTERIA P/DAMA VARIOS MODELOS,Talla,3515,Value not found in Odoo catalog
NK-A-132789,,BISUTERIA P/DAMA VARIOS MODELOS,Talla,132789,Value not found in Odoo catalog
NK-A-132784,,BISUTERIA P/DAMA VARIOS MODELOS,Talla,132784,Value not found in Odoo catalog
NK-A-128910,,BISUTERIA P/DAMA VARIOS MODELOS,Talla,128910,Value not found in Odoo catalog
NK-A-128908,,BISUTERIA P/DAMA VARIOS MODELOS,Talla,128908,Value not found in Odoo catalog
NK-A-128882,,BISUTERIA P/DAMA VARIOS MODELOS,Talla,128882,Value not found in Odoo catalog
ER-PE-1634,,BISUTERIA P/DAMA VARIOS MODELOS,Talla,1634,Value not found in Odoo catalog
ER-ME-7739,,BISUTERIA P/DAMA VARIOS MODELOS,Talla,7739,Value not found in Odoo catalog
ER-ME-4331,,BISUTERIA P/DAMA VARIOS MODELOS,Talla,4331,Value not found in Odoo catalog
ER-ME-4008,,BISUTERIA P/DAMA VARIOS MODELOS,Talla,4008,Value not found in Odoo catalog
ER-ME-20008,,BISUTERIA P/DAMA VARIOS MODELOS,Talla,20008,Value not found in Odoo catalog
ER-CE-1814,,BISUTERIA P/DAMA VARIOS MODELOS,Talla,1814,Value not found in Odoo catalog
TER-BC-VAR-1,,TERNO BRUNO CASSINI COMBO,Talla,1,Value not found in Odoo catalog
J11063/BLEACH BLUE-SH-26,,SHORT P/DAMA OBSENA,Talla,26,Value not found in Odoo catalog
JS-CAMEO-BL/35.5,,Terno JS-CAMEO-BL,Talla,35.5,Value not found in Odoo catalog
JS-CAMEO-BL/39,,Terno JS-CAMEO-BL,Talla,39,Value not found in Odoo catalog
PIN-01,,PINCHO P/LEVA BRUNO CASSINI,Talla,01,Value not found in Odoo catalog
CORREA-TAN-1119,,CORREAS CINT CUE NAP # 35 TAN,Talla,1119,Value not found in Odoo catalog
CORREA-CA2-1119,,CORREAS CINT CUE NAP # 35 CAFÉ 2,Talla,1119,Value not found in Odoo catalog
JCB-1077,,CINTURON P/DAMA VARIOS MODELOS,Talla,1077,Value not found in Odoo catalog
CORREA-AZ-1119,,CORREAS CINT CUE NAP # 35 AZUL,Talla,1119,Value not found in Odoo catalog
CORREA-VN-1119,,CORREAS CINT CUE NAP # 35 VINO,Talla,1119,Value not found in Odoo catalog
CORREA-ML-1119,,CORREAS CINT CUE NAP # 35 MIEL,Talla,1119,Value not found in Odoo catalog
CORREA-CA-1119,,CORREAS CINT CUE NAP # 35 CAFÉ,Talla,1119,Value not found in Odoo catalog
LUCKY-CH-002,,CADENA VARIOS MODELOS LUCKY CHARM,Talla,002,Value not found in Odoo catalog
FRESH-CO-002,,CADENA VARIOS MODELOS FRESH & CO,Talla,002,Value not found in Odoo catalog
LUCKY-CH-001,,ARETES VARIOS MODELOS LUCKY CHARM,Talla,001,Value not found in Odoo catalog
FRESH-CO-001,,ARETES VARIOS MODELOS FRESH & CO,Talla,001,Value not found in Odoo catalog
3IW-1918,,CINTURON JOIA TRADING,Talla,1918,Value not found in Odoo catalog
3IW-1718,,CINTURON JOIA TRADING,Talla,1718,Value not found in Odoo catalog
IW-3620,,CINTURON JOIA TRADING,Talla,3620,Value not found in Odoo catalog
JCB-1142,,CINTURON JOIA TRADING,Talla,1142,Value not found in Odoo catalog
IW-4307,,CINTURON,Talla,4307,Value not found in Odoo catalog
IW-3827,,CINTURON  JOIA TRADING,Talla,3827,Value not found in Odoo catalog
IW-3606,,CINTURON JOIA TRADING,Talla,3606,Value not found in Odoo catalog
IW-2880,,CINTURON JOIA TRADING,Talla,2880,Value not found in Odoo catalog
JCB-1108,,CINTURON JOIA TRADING,Talla,1108,Value not found in Odoo catalog
PUL19-09-11,,ACCESORIO - 2019-09,Talla,11,Value not found in Odoo catalog
ACCE19-09-1,,ACCESORIO - 2019-09,Talla,1,Value not found in Odoo catalog
ACCE19-09-2,,ACCESORIO - 2019-09,Talla,2,Value not found in Odoo catalog
ACCE19-09-3,,ACCESORIO - 2019-09,Talla,3,Value not found in Odoo catalog
ACCE19-09-4,,ACCESORIO - 2019-09,Talla,4,Value not found in Odoo catalog
ACCE19-09-5,,ACCESORIO - 2019-09,Talla,5,Value not found in Odoo catalog
J-201909,,JUMPER,Talla,201909,Value not found in Odoo catalog
TGD03-150,,BLACK FIXTURE FLOOD LIGTH 150W - 6000K,Talla,150,Value not found in Odoo catalog
TGD03-200,,BLACK FIXTURE FLOOD LIGTH 200W - 6000K,Talla,200,Value not found in Odoo catalog
PX-NZBM-22,,LUZ SURFACE PANEL ROUND 22W 6000K,Talla,22,Value not found in Odoo catalog
ZMTR-25,,ZOOMABLE TRACK LIGHT WHITE FXTURE 25W - 3000K,Talla,25,Value not found in Odoo catalog
LU-3015,,TUBO P/ILUMINACION LED CALIDO 1.20 CM,Talla,3015,Value not found in Odoo catalog
DD-111,,SPOT LIGHT BULB 9W 3000K ,Talla,111,Value not found in Odoo catalog
PX-YSCD-24,,COB DOWN LIGHT,Talla,24,Value not found in Odoo catalog
PX-NZTD-24,,LED DOWN LIGHT 24W 6000-6500K,Talla,24,Value not found in Odoo catalog
ACCE-18-08,,PULSERAS P/DAMA VARIOS MODELOS,Talla,08,Value not found in Odoo catalog
ACCE-18-07,,ARETES P/DAMA VARIOS MODELOS,Talla,07,Value not found in Odoo catalog
54-026,,BLUSA P/DAMA,Talla,026,Value not found in Odoo catalog
54-045,,BLUSA P/DAMA MODELO,Talla,045,Value not found in Odoo catalog
54-029,,BLUSA P/DAMA,Talla,029,Value not found in Odoo catalog
54-024,,BLUSA PARA DAMA MODELO,Talla,024,Value not found in Odoo catalog
CK-S31-042,,CAMISETA DE NINO,Talla,042,Value not found in Odoo catalog
WB-1067,,PANTALON DE DAMA,Talla,1067,Value not found in Odoo catalog
XLH1639-11/BROWN-37,,ZAPATOS OBSENA,Talla,37,Value not found in Odoo catalog
XLH1639-11/BROWN-39,,ZAPATOS OBSENA,Talla,39,Value not found in Odoo catalog
T8-120,,1.2; 18W; T8 LED TUBE PANEL LIGHT,Talla,120,Value not found in Odoo catalog
STL-126,,LED STREET LIGHT,Talla,126,Value not found in Odoo catalog
SSB-1310264,,CAMISETA DE BEBE 6-24,Talla,1310264,Value not found in Odoo catalog
ST-10974,,VESTIDO ENFOCUS STUDIO,Talla,10974,Value not found in Odoo catalog
ST-11477,,VESTIDO ENFOCUS STUDIO,Talla,11477,Value not found in Odoo catalog
ST-11712,,VESTIDO ENFOCUS STUDIO,Talla,11712,Value not found in Odoo catalog
ST-12110,,VESTIDO ENFOCUS STUDIO,Talla,12110,Value not found in Odoo catalog
ST-26433,,VESTIDO MAYA BROOKE,Talla,26433,Value not found in Odoo catalog
ST-28164,,BLUSA MONT EAU,Talla,28164,Value not found in Odoo catalog
ST-58447,,VESTIDO RAGS TO WISHES,Talla,58447,Value not found in Odoo catalog
ST-60417,,VESTIDO ENFOCUS STUDIO,Talla,60417,Value not found in Odoo catalog
ST-60613,,VESTIDO ENFOCUS STUDIO,Talla,60613,Value not found in Odoo catalog
ST-60879,,VESTIDO ENFOCUS STUDIO,Talla,60879,Value not found in Odoo catalog
ST-60895,,VESTIDO ENFOCUS STUDIO,Talla,60895,Value not found in Odoo catalog
ST-68227,,JUMPER AMBRANCE,Talla,68227,Value not found in Odoo catalog
ST-70246,,VESTIDO SANDRA DARREN,Talla,70246,Value not found in Odoo catalog
ST-70515,,VESTIDO SANDRA DARREN,Talla,70515,Value not found in Odoo catalog
SS-0520,,TOP DREAM GARDEN DE DAMA 100% ALGODON,Talla,0520,Value not found in Odoo catalog
SS-2080142,,CONJ. DE NINA TSHIRT 4-12,Talla,2080142,Value not found in Odoo catalog
SS-2080146,,CONJUNTO NINA T-SHIRT+FALDA TL,Talla,2080146,Value not found in Odoo catalog
SS-2080162,,CONJ. NINA TOP SIN MANGA 4-12,Talla,2080162,Value not found in Odoo catalog
SS-2080163,,CONJ.NINA TOP MANGA LARGA 4-12,Talla,2080163,Value not found in Odoo catalog
SS-2730094,,PIJAMA DE NINA TALLA 4-12,Talla,2730094,Value not found in Odoo catalog
S-1139,,TERNO DE BANO DE DAMA SOLEI,Talla,1139,Value not found in Odoo catalog
S-450,,PANTALON DE VESTIR NEW SHINE,Talla,450,Value not found in Odoo catalog
PX-TGD03-200,,FLOOD LIGHT BLACK FIXTURE,Talla,200,Value not found in Odoo catalog
PBD-60120,,LIGHT SIZE 1200*600MM 80W 6000-6500K,Talla,60120,Value not found in Odoo catalog
PAN-01,,PANUELO PARA HOMBRE LLANOS,Talla,01,Value not found in Odoo catalog
PAN-02,,PANUELO PARA HOMBRE ESTAMPADOS,Talla,02,Value not found in Odoo catalog
P-1206,,M. PANUELO PARA DAMA,Talla,1206,Value not found in Odoo catalog
P-4017,,M.TOP PROMESA P/DAMA,Talla,4017,Value not found in Odoo catalog
P-582,,PAREO P/TRAJE DE BANO,Talla,582,Value not found in Odoo catalog
NODIM-DRIVER/3,,Terno NODIM-DRIVER,Talla,3,Value not found in Odoo catalog
MTR082/FA7610W275-5020,,PANTALON DE HOMBRE 98% ALGODON 2% ELASTANO,Talla,5020,Value not found in Odoo catalog
MTR082/FA7610W275-8012,,PANTALON DE HOMBRE 98% ALGODON 2% ELASTANO,Talla,8012,Value not found in Odoo catalog
MTR082/FA7610W275-9000,,PANTALON DE HOMBRE 98% ALGODON 2% ELASTANO,Talla,9000,Value not found in Odoo catalog
MTR082/FA7610W275-9015,,PANTALON DE HOMBRE 98% ALGODON 2% ELASTANO,Talla,9015,Value not found in Odoo catalog
MTR082/FA8525W085-4015,,PANTALON DE HOMBRE 98% ALGODON 2% ELASTANO,Talla,4015,Value not found in Odoo catalog
N-1004,,COLLAR,Talla,1004,Value not found in Odoo catalog
MSL00177/FA400035-2025,,CAMISA COTTON 100% M/L,Talla,2025,Value not found in Odoo catalog
MSL00177/FA400035-5020,,CAMISA HOMBRE 100% ALGODON M/L,Talla,5020,Value not found in Odoo catalog
MSL00177/FA400035-7032,,CAMISA HOMBRE 100% ALGODON M/C,Talla,7032,Value not found in Odoo catalog
MSL00180/FA420042-5020,,CAMISA TAPE INSIDE FRONT FLY M/L,Talla,5020,Value not found in Odoo catalog
MSL00180/FA420042-7029,,CAMISA WITH TAPE INSIDE FRONT FLY M/L,Talla,7029,Value not found in Odoo catalog
MSL00191/FA470008-2025,,CAMISA MANGA LARGA 76% ALGODON M/L,Talla,2025,Value not found in Odoo catalog
MSL00191/FA470008-7030,,CAMISA MANGA LARGA 76% ALGODON 20%POLI M/L,Talla,7030,Value not found in Odoo catalog
MTR00074/FA801007-5019,,PANTALON SKINNY 98%ALG.2% ELASTANO/BOLSILLOS,Talla,5019,Value not found in Odoo catalog
MTR00074/FA801007-5020,,PANTALON SKINNY 98%ALG.2% ELASTANO/BOLSILLOS,Talla,5020,Value not found in Odoo catalog
MTR00074/FA801007-8012,,PANTALON SKINNY 98%ALG.2% ELASTANO/BOLSILLOS,Talla,8012,Value not found in Odoo catalog
MTR00119/FA900054-4017,,PANTALON DE HOMBRE 100% ALGODON,Talla,4017,Value not found in Odoo catalog
MTR082/FA7610W275-2025,,PANTALON DE HOMBRE 98% ALGODON 2% ELASTANO,Talla,2025,Value not found in Odoo catalog
MTR082/FA7610W275-2027,,PANTALON DE HOMBRE 98% ALGODON 2% ELASTANO,Talla,2027,Value not found in Odoo catalog
MTR082/FA7610W275-5019,,PANTALON DE HOMBRE 98% ALGODON 2% ELASTANO,Talla,5019,Value not found in Odoo catalog
MSL00004/FA460002-5000,,CAMISA CON CONTRASTE COTTON 87%NYLON 20%ELASTANO M/L,Talla,5000,Value not found in Odoo catalog
MSL00034/FA410001-2001,,CAMISA ALGODON 100% M/L,Talla,2001,Value not found in Odoo catalog
MSL00034/FA410001-9001,,CAMISA ALGODON 100% M/L,Talla,9001,Value not found in Odoo catalog
MAG-08,,COLLAR,Talla,08,Value not found in Odoo catalog
MAGI-25,,ARETES DE CRISTAL,Talla,25,Value not found in Odoo catalog
MAGI-27,,PULSERA BLUE BUTTERFLIES,Talla,27,Value not found in Odoo catalog
LQ-524,,MANTEL ALGODON 72 X 108,Talla,524,Value not found in Odoo catalog
M-03-11,,INIDIVIDUAL PARA MESA PZA 11 UNIDADES,Talla,11,Value not found in Odoo catalog
M-03-3,,INDIVIDUAL PARA MESA PZA 3 UNIDADES,Talla,3,Value not found in Odoo catalog
KLN-TWAN-001,,LED EMERGENXCY 6000 - 6500 LIGHT; 2*12PCS LED; 120-277V 50/6,Talla,001,Value not found in Odoo catalog
LED-DRIVER/24,,Terno LED-DRIVER,Talla,24,Value not found in Odoo catalog
JY-001,,M. TOP FAISCA P/DAMA,Talla,001,Value not found in Odoo catalog
JY-002,,M.TOP FAISCA P/DAMA,Talla,002,Value not found in Odoo catalog
J11063/DARK BLUE-27,,DARK BLUE,Talla,27,Value not found in Odoo catalog
J14015AC/DARK BLUE-25,,DARK BLUE,Talla,25,Value not found in Odoo catalog
J14015AC/DARK BLUE-26,,DARK BLUE,Talla,26,Value not found in Odoo catalog
J14015AC/DARK BLUE-27,,DARK BLUE,Talla,27,Value not found in Odoo catalog
J14015AC/STONE BLUE-25,,STONE BLUE,Talla,25,Value not found in Odoo catalog
J14015AC/STONE BLUE-26,,STONE BLUE,Talla,26,Value not found in Odoo catalog
J14015AC/STONE BLUE-27,,STONE BLUE,Talla,27,Value not found in Odoo catalog
J-35,,TERNO DE BANO JUNIOR SOLEI,Talla,35,Value not found in Odoo catalog
J-47,,TERNO DE BANO JUNIOR SOLEI,Talla,47,Value not found in Odoo catalog
J07034FC/DARK BLK-2-25,,PANTALON MUJER,Talla,25,Value not found in Odoo catalog
J07034FC/DARK BLK-2-26,,PANTALON MUJER,Talla,26,Value not found in Odoo catalog
J07034FC/DARK BLK-2-27,,PANTALON MUJER,Talla,27,Value not found in Odoo catalog
J07034FC/STONE BLK-25,,STONE BLACK,Talla,25,Value not found in Odoo catalog
J07034FC/STONE BLK-26,,STONE BLACK,Talla,26,Value not found in Odoo catalog
J07034FC/STONE BLK-27,,STONE BLACK,Talla,27,Value not found in Odoo catalog
J11063/BLEACH BLUE-25,,BLEACH BLUE,Talla,25,Value not found in Odoo catalog
J11063/BLEACH BLUE-26,,BLEACH BLUE,Talla,26,Value not found in Odoo catalog
J11063/BLEACH BLUE-27,,BLEACH BLUE,Talla,27,Value not found in Odoo catalog
J11063/DARK BLUE-25,,DARK BLUE,Talla,25,Value not found in Odoo catalog
J11063/DARK BLUE-26,,DARK BLUE,Talla,26,Value not found in Odoo catalog
I101251/GREY-37,,ZAPATOS PARA DAMAS,Talla,37,Value not found in Odoo catalog
I101251/GREY-39,,ZAPATOS PARA DAMAS,Talla,39,Value not found in Odoo catalog
I101251/BLACK-37,,ZAPATOS PARA DAMAS,Talla,37,Value not found in Odoo catalog
I101251/BLACK-39,,ZAPATOS PARA DAMAS,Talla,39,Value not found in Odoo catalog
I101251/BEIGE-37,,ZAPATOS PARA DAMAS,Talla,37,Value not found in Odoo catalog
I101251/BEIGE-39,,ZAPATOS PARA DAMAS,Talla,39,Value not found in Odoo catalog
GEM-005,,GEMELOS VARIOS MODELOS,Talla,005,Value not found in Odoo catalog
G07034AS/BLUE-26,,RINSE BLUE,Talla,26,Value not found in Odoo catalog
G07034AS/BLUE-27,,RINSE BLUE,Talla,27,Value not found in Odoo catalog
G07034AS/LIGHT BLUE-25,,LIGHT BLUE,Talla,25,Value not found in Odoo catalog
G07034AS/LIGHT BLUE-26,,LIGHT BLUE,Talla,26,Value not found in Odoo catalog
G07034AS/LIGHT BLUE-27,,LIGHT BLUE,Talla,27,Value not found in Odoo catalog
GAF-01,,GAFAS P/DAMAS VARIOS MODELOS,Talla,01,Value not found in Odoo catalog
GAF-02,,GAFAS VARIOS MODELOS,Talla,02,Value not found in Odoo catalog
GAF-03,,GAFAS P/DAMAS VARIOS MODELOS,Talla,03,Value not found in Odoo catalog
FULL-250-355,,SABANA FULL CAS 250 HILOS 355,Talla,355,Value not found in Odoo catalog
G07034AS/BLUE-25,,RINSE BLUE,Talla,25,Value not found in Odoo catalog
FLOOD-MOD/300,,Terno FLOOD-MOD,Talla,300,Value not found in Odoo catalog
CV-D01-212,,CAMISA P/H M/L 100% ALGODON,Talla,212,Value not found in Odoo catalog
CO-2873,,CONJUNTOS VARIOS MODELOS,Talla,2873,Value not found in Odoo catalog
CORBATA-BC/2013,,Terno CORBATA-BC,Ancho Corbata,2013 cm,Value not found in Odoo catalog
CB-A28-003,,BERMUDA P/H CUBAVERA 55% ALG. 45% LINO.,Talla,003,Value not found in Odoo catalog
CB-B22-002,,H. BERMUDA P/CABALLERO CUBAVERA,Talla,002,Value not found in Odoo catalog
CB-B82-130109,,SOMBRERO CUBAVERA 100 PAPEL,Talla,130109,Value not found in Odoo catalog
BOHO-02,,COLLAR,Talla,02,Value not found in Odoo catalog
BOHO-04,,COLLAR,Talla,04,Value not found in Odoo catalog
BOHO-05,,COLLAR,Talla,05,Value not found in Odoo catalog
C-04,,LEGGINS LICRA P/NINA,Talla,04,Value not found in Odoo catalog
C-9002,,M.TOP P/BLUSAS COOBIE,Talla,9002,Value not found in Odoo catalog
BL-11325,,JEANS HAYDEN DE DAMA,Talla,11325,Value not found in Odoo catalog
BL-11327,,JEANS STELLA DE DAMA,Talla,11327,Value not found in Odoo catalog
BL-11333,,JEANS GITANE DE DAMA,Talla,11333,Value not found in Odoo catalog
BL-2613,,BLUSAS VARIOS MODELOS,Talla,2613,Value not found in Odoo catalog
BL-2685,,BLUSAS VARIOS MODELOS,Talla,2685,Value not found in Odoo catalog
BL-2806,,BLUSAS VARIOS MODELOS,Talla,2806,Value not found in Odoo catalog
BL-2827,,BLUSAS VARIOS MODELOS,Talla,2827,Value not found in Odoo catalog
BL-2966,,BLUSAS MODELOS VARIOS,Talla,2966,Value not found in Odoo catalog
BL-3050,,BLUSAS JEANS VARIOS MODELOS,Talla,3050,Value not found in Odoo catalog
BL-3062,,BLUSAS VARIOS MODELOS,Talla,3062,Value not found in Odoo catalog
BL-3077,,BLUSAS VARIOS MODELOS,Talla,3077,Value not found in Odoo catalog
BL-3089,,BLUSAS VARIOS MODELOS,Talla,3089,Value not found in Odoo catalog
BL-4049,,BLUSAS VARIOS MODELOS,Talla,4049,Value not found in Odoo catalog
BL-4057,,BLUSAS VARIOS MODELOS,Talla,4057,Value not found in Odoo catalog
BL-4059,,BLUSAS VARIOS MODELOS,Talla,4059,Value not found in Odoo catalog
ACCE-17-01,,BISUTERIA WINTER 2018,Talla,01,Value not found in Odoo catalog
ACCE-17-02,,BISUTERIA WINTER 2018,Talla,02,Value not found in Odoo catalog
ACCE-17-03,,BISUTERIA WINTER 2018,Talla,03,Value not found in Odoo catalog
ACCE-17-04,,BISUTERIA WINTER 2018,Talla,04,Value not found in Odoo catalog
ACCE-17-05,,BISUTERIA WINTER 2018,Talla,05,Value not found in Odoo catalog
ACCE-17-06,,BISUTERIA WINTER 2018,Talla,06,Value not found in Odoo catalog
AR-001,,ARETES VARIOS MODELOS,Talla,001,Value not found in Odoo catalog
AR-002,,ARETES VARIOS MODELOS,Talla,002,Value not found in Odoo catalog
ARM-01,,ARMADOR VARIOS TIPOS,Talla,01,Value not found in Odoo catalog
B-1857,,FASHION AI BLUSA,Talla,1857,Value not found in Odoo catalog
8656BL-08,,M.PRINCIPIANTE BLUE 08,Talla,08,Value not found in Odoo catalog
881-9200,,CONJUNTO 2 PCS P/NINO 0-24 MESES,Talla,9200,Value not found in Odoo catalog
81216-2,,CAMISAS BRUNO CASSINI,Talla,2,Value not found in Odoo catalog
81216-4,,CAMISAS BRUNO CASSINI,Talla,4,Value not found in Odoo catalog
81216-5,,CAMISAS BRUNO CASSINI,Talla,5,Value not found in Odoo catalog
820-8199,,MANTA P/BEBE 30X30,Talla,8199,Value not found in Odoo catalog
771-9216,,CONJUNTO P/NINA 2-5,Talla,9216,Value not found in Odoo catalog
55-12120,,CONJUNTO CAPRI NINA,Talla,12120,Value not found in Odoo catalog
55-21941,,CONJ. CAPRI NINA,Talla,21941,Value not found in Odoo catalog
55-21945,,CONJ. CAPRI DE NINA,Talla,21945,Value not found in Odoo catalog
55-21995,,CONJ. CAPRI NINA,Talla,21995,Value not found in Odoo catalog
45777-1,,BLUSA PARA NINA,Talla,1,Value not found in Odoo catalog
411-0306,,M. SUETER P/NINA,Talla,0306,Value not found in Odoo catalog
411-5158,,VEST. OVERALL P/NINA,Talla,5158,Value not found in Odoo catalog
411-5160,,VEST. OVERALL P/NINA,Talla,5160,Value not found in Odoo catalog
403-0503,,T-SHIRT PARA NINA,Talla,0503,Value not found in Odoo catalog
403-0508,,T-SHIRT P/NINA,Talla,0508,Value not found in Odoo catalog
403-10594,,BLUSA P/NINA 7-14,Talla,10594,Value not found in Odoo catalog
403-5149,,CONJUNTO PANTALON NINA 2 PZA,Talla,5149,Value not found in Odoo catalog
403-5661,,M. CONJUNTO PANT. NINA,Talla,5661,Value not found in Odoo catalog
403-9259,,CONJ. FALDA NINA 3 PCS,Talla,9259,Value not found in Odoo catalog
408-8125,,CONJUNTO CAPRY NINA,Talla,8125,Value not found in Odoo catalog
408-8166,,CONJUNTO CAPRY DE NINA,Talla,8166,Value not found in Odoo catalog
36-42223,,MEDIAS LIZZIE MC GUIRE,Talla,42223,Value not found in Odoo catalog
273-1,,H.PANTALON BRUNO CASSINI,Talla,1,Value not found in Odoo catalog
273-4,,H.PANTALON BRUNO CASSINI,Talla,4,Value not found in Odoo catalog
302-13197,,SUETER P7 NINA M7C,Talla,13197,Value not found in Odoo catalog
303-44416,,CONJ. SHORT P/NINO,Talla,44416,Value not found in Odoo catalog
24-22377,,PIJAMA PR,Talla,22377,Value not found in Odoo catalog
22-20087,,PIJAMA PARA NINA,Talla,20087,Value not found in Odoo catalog
22-20088,,PIJAMA NINA,Talla,20088,Value not found in Odoo catalog
22-24058,,PIJAMA PARA NINA,Talla,24058,Value not found in Odoo catalog
21-0170,,TOPS Y TORERO P/NINA,Talla,0170,Value not found in Odoo catalog
21-0138,,TOPS Y FALDA P/NINA,Talla,0138,Value not found in Odoo catalog
19-1444,,SET/PIJAMA 2PCS NINA (1-2-3-4),Talla,1444,Value not found in Odoo catalog
19-1821,,SUETER FALDA JEANS NINA,Talla,1821,Value not found in Odoo catalog
19-1835,,SUETER FALDA NINA (2-8),Talla,1835,Value not found in Odoo catalog
19-22273,,VESTIDO DE BANO NINA,Talla,22273,Value not found in Odoo catalog
19-22274,,VESTIDO DE BANO DE NINA,Talla,22274,Value not found in Odoo catalog
19-22276,,VESTIDO DE BANO DE NINA,Talla,22276,Value not found in Odoo catalog
19-22286,,VESTIDO DE BANO NINA,Talla,22286,Value not found in Odoo catalog
19-2349,,TORERO Y SUETER M/L 2 PC,Talla,2349,Value not found in Odoo catalog
19-2412,,TOP CAPRI KIDSCO,Talla,2412,Value not found in Odoo catalog
190-0437,,M. PIJAMA P. WOODPECKER,Talla,0437,Value not found in Odoo catalog
20-28981,,BLUSA PARA NINA,Talla,28981,Value not found in Odoo catalog
20-28989,,BLUSA PARA NINA,Talla,28989,Value not found in Odoo catalog
21-0134,,TOPS Y TORERO P/NINA,Talla,0134,Value not found in Odoo catalog
21-0135,,TOPS Y TORERO P/NINA,Talla,0135,Value not found in Odoo catalog
21-0136,,TOPS Y FALDA P/NINA,Talla,0136,Value not found in Odoo catalog
21-0137,,TOPS Y TORERO P/NINA,Talla,0137,Value not found in Odoo catalog
17CK180-100,,CAMISA BLANCA CALVIN KLEIN,Talla,100,Value not found in Odoo catalog
104-42647,,SEWTER NINA,Talla,42647,Value not found in Odoo catalog
104-42771,,SWETER NINA 2 AL 8,Talla,42771,Value not found in Odoo catalog
12-0051,,BLUSAS STRECH NINA KIDS&CO,Talla,0051,Value not found in Odoo catalog
12-3954,,COLLAR,Talla,3954,Value not found in Odoo catalog
125-0406,,SWETER P/NINO 10-18,Talla,0406,Value not found in Odoo catalog
10-22965,,PIJAMA PARA NINA,Talla,22965,Value not found in Odoo catalog
10-2952,,CONJ/PANT TORERO (6-24M),Talla,2952,Value not found in Odoo catalog
10-2996,,SET TOP Y PANTALON (6-24M),Talla,2996,Value not found in Odoo catalog
10-3000,,SET/TOP Y PANTALON (6-24M),Talla,3000,Value not found in Odoo catalog
08-40456,,CONJUNTO FALDA 4-12 LIZZIE,Talla,40456,Value not found in Odoo catalog
08-42299,,BLUSA 2-8 LIZZIE MC GUIRE,Talla,42299,Value not found in Odoo catalog
08-42325,,BLUSA 2-8 LIZIE MAC GUIRE,Talla,42325,Value not found in Odoo catalog
08-42339,,BLUSA 2-8 LIZZIE MC GUIRE,Talla,42339,Value not found in Odoo catalog
08-42342,,BLUSA 2-8 LIZZI MC GUIRE,Talla,42342,Value not found in Odoo catalog
08-42793,,CONJUNTO NINA TROLLZ,Talla,42793,Value not found in Odoo catalog
009-99,,BLUSA P/NINA,Talla,99,Value not found in Odoo catalog
025-79086,,CONJ. P/BEBE NINA 3PCS,Talla,79086,Value not found in Odoo catalog
