External ID,Name,Product Type,Sales Price,Cost,Weight,Sales Description,Product Attributes / Attribute,Product Attributes / Values
adams_tmpl_vestido_micaela_pistacho,VESTIDO MICAELA PISTACHO,Goods,182.52,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla,"L,XL"
adams_tmpl_vestido_micaela_azul,VESTIDO MICAELA AZUL,Goods,182.52,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Color,Azul
adams_tmpl_vestido_micaela_azul,VESTIDO MICAELA AZUL,Goods,182.52,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla,"L,M,XL"
adams_tmpl_vestido_whitney_beige_circulos,VESTIDO WHITNEY BEIGE CIRCULOS,Goods,172.09,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla,"L,XL"
adams_tmpl_vestido_carson_mustard,VESTIDO CARSON MUSTARD,Goods,156.43,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla,"L,M"
adams_tmpl_vestido_carson_vino,VESTIDO CARSON VINO,Goods,156.43,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Color,Vino
adams_tmpl_vestido_carson_vino,VESTIDO CARSON VINO,Goods,156.43,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla,"L,XL"
adams_tmpl_set_christine_white,SET CHRISTINE WHITE,Goods,166.87,0.00,0.0,Categoría sugerida: Sin Categoria,Color,Blanco
adams_tmpl_set_christine_white,SET CHRISTINE WHITE,Goods,166.87,0.00,0.0,Categoría sugerida: Sin Categoria,Talla,"L,M,XL"
adams_tmpl_set_meghan_yellow,SET MEGHAN YELLOW,Goods,208.61,0.00,0.0,Categoría sugerida: Sin Categoria,Talla,L
adams_tmpl_pantalon_pt_25c29118_10,Pantalon PT-25C29118-10,Goods,47.74,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,Marca,Bruno Cassini
adams_tmpl_pantalon_pt_25c29118_10,Pantalon PT-25C29118-10,Goods,47.74,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,Talla,32
adams_tmpl_zapato_zp_0907_brw,Zapato ZP-0907-BRW,Goods,152.09,0.00,0.0,Categoría sugerida: Ropa / Hombres / Zapatos,Marca,Bruno Cassini
adams_tmpl_zapato_zp_0907_brw,Zapato ZP-0907-BRW,Goods,152.09,0.00,0.0,Categoría sugerida: Ropa / Hombres / Zapatos,Talla,"10,6.5,7,7.5,8,8.5,9,9.5"
adams_tmpl_h_corbata_p_caballeros_red,H. CORBATA P/CABALLEROS RED,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Rojo
adams_tmpl_h_corbata_p_caballeros_salmon,H. CORBATA P/CABALLEROS SALMON,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Talla,SLM
adams_tmpl_h_corbata_p_caballeros_wine,H. CORBATA P/CABALLEROS WINE,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Vino
adams_tmpl_h_corbata_p_caballeros_grey,H. CORBATA P/CABALLEROS GREY,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Gris
adams_tmpl_h_corbata_p_caballeros_dark_grey,H. CORBATA P/CABALLEROS DARK GREY,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Gris
adams_tmpl_h_corbata_p_caballeros_green,H. CORBATA P/CABALLEROS GREEN,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Verde
adams_tmpl_h_corbata_p_caballeros_sky_blue,H. CORBATA P/CABALLEROS SKY BLUE,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Azul
adams_tmpl_h_corbata_p_caballeros_blue,H. CORBATA P/CABALLEROS BLUE,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Azul
adams_tmpl_h_corbata_p_caballeros_navy,H. CORBATA P/CABALLEROS NAVY,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Azul Marino
adams_tmpl_h_corbata_p_caballeros_black,H. CORBATA P/CABALLEROS BLACK,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Negro
adams_tmpl_vestido_lucero_navy,VESTIDO LUCERO NAVY,Goods,138.17,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Color,Azul Marino
adams_tmpl_vestido_lucero_navy,VESTIDO LUCERO NAVY,Goods,138.17,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla,"L,XL"
adams_tmpl_vestido_katya_pink,VESTIDO KATYA PINK,Goods,133.83,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla,L
adams_tmpl_vestido_katya_azul,VESTIDO KATYA AZUL,Goods,133.83,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Color,Azul
adams_tmpl_vestido_katya_azul,VESTIDO KATYA AZUL,Goods,133.83,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla,XL
adams_tmpl_vestido_ninoska_beige,VESTIDO NINOSKA BEIGE,Goods,108.61,0.00,0.0,Categoría sugerida: Ropa / Niños,Talla,"L,M,S"
adams_tmpl_vestido_ariana_white,VESTIDO ARIANA WHITE,Goods,138.17,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Color,Blanco
adams_tmpl_vestido_ariana_white,VESTIDO ARIANA WHITE,Goods,138.17,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Vestidos,Talla,"L,M"
adams_tmpl_blusa_rivera_white,BLUSA RIVERA WHITE,Goods,55.57,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Blusas,Color,Blanco
adams_tmpl_blusa_rivera_white,BLUSA RIVERA WHITE,Goods,55.57,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Blusas,Talla,"L,M,XL"
adams_tmpl_blusa_rivera_celeste,BLUSA RIVERA CELESTE,Goods,55.57,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Blusas,Talla,"L,M,XL"
adams_tmpl_blusa_valentine_moka,BLUSA VALENTINE MOKA,Goods,69.48,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Blusas,Talla,"L,M,S"
adams_tmpl_blusa_butterfly_white,BLUSA BUTTERFLY WHITE,Goods,55.57,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Blusas,Color,Blanco
adams_tmpl_blusa_butterfly_white,BLUSA BUTTERFLY WHITE,Goods,55.57,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Blusas,Talla,"L,M,XL"
adams_tmpl_cartera_carolina_herrera_navy,CARTERA CAROLINA HERRERA NAVY,Goods,62.52,0.00,0.0,Categoría sugerida: Sin Categoria,Color,Azul Marino
adams_tmpl_cartera_guess_blackl_line,CARTERA GUESS BLACKL LINE,Goods,62.52,0.00,0.0,Categoría sugerida: Sin Categoria,Color,Negro
adams_tmpl_cartera_guess_red,CARTERA GUESS RED,Goods,62.52,0.00,0.0,Categoría sugerida: Sin Categoria,Color,Rojo
adams_tmpl_cartera_coach_black_de_mano,CARTERA COACH BLACK DE MANO,Goods,70.35,0.00,0.0,Categoría sugerida: Sin Categoria,Color,Negro
adams_tmpl_pantalon_pt_24e510097_5,Pantalon PT-24E510097-5,Goods,65.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,Color,Azul
adams_tmpl_pantalon_pt_24e510097_5,Pantalon PT-24E510097-5,Goods,65.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,Marca,Bruno Cassini
adams_tmpl_pantalon_pt_24e510097_5,Pantalon PT-24E510097-5,Goods,65.13,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,Talla,46
adams_tmpl_pantalon_pt_23e312010_4,Pantalon PT-23E312010-4,Goods,47.74,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,Marca,Bruno Cassini
adams_tmpl_pantalon_pt_23e312010_4,Pantalon PT-23E312010-4,Goods,47.74,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,Talla,"28,30,40"
adams_tmpl_gemelos_hublot_black,GEMELOS HUBLOT BLACK,Goods,130.35,0.00,0.0,Categoría sugerida: Sin Categoria,Color,Negro
adams_tmpl_pantalon_pt_24c29918_20,Pantalon PT-24C29918-20,Goods,47.74,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,Marca,Bruno Cassini
adams_tmpl_pantalon_pt_24c29918_20,Pantalon PT-24C29918-20,Goods,47.74,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,Talla,"30,38"
adams_tmpl_pantalon_pt_23c25168_220,Pantalon PT-23C25168-220,Goods,56.43,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,Marca,Bruno Cassini
adams_tmpl_pantalon_pt_23c25168_220,Pantalon PT-23C25168-220,Goods,56.43,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,Talla,"32,34,48"
adams_tmpl_pantalon_pt_24e2712_3,Pantalon PT-24E2712-3,Goods,56.43,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,Color,Azul
adams_tmpl_pantalon_pt_24e2712_3,Pantalon PT-24E2712-3,Goods,56.43,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,Marca,Bruno Cassini
adams_tmpl_pantalon_pt_24e2712_3,Pantalon PT-24E2712-3,Goods,56.43,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,Talla,36
adams_tmpl_terno_25c0905_81bc_2,Terno 25C0905-81BC-2,Goods,260.78,0.00,0.0,Categoría sugerida: Ropa / Hombres / Ternos,Marca,Bruno Cassini
adams_tmpl_terno_25c0905_81bc_2,Terno 25C0905-81BC-2,Goods,260.78,0.00,0.0,Categoría sugerida: Ropa / Hombres / Ternos,Talla,"46,48,50,52,54,56,58"
adams_tmpl_terno_25c29375_56bc_2,Terno 25C29375-56BC-2,Goods,260.78,0.00,0.0,Categoría sugerida: Ropa / Hombres / Ternos,Color,Azul Marino
adams_tmpl_terno_25c29375_56bc_2,Terno 25C29375-56BC-2,Goods,260.78,0.00,0.0,Categoría sugerida: Ropa / Hombres / Ternos,Marca,Bruno Cassini
adams_tmpl_terno_25c29375_56bc_2,Terno 25C29375-56BC-2,Goods,260.78,0.00,0.0,Categoría sugerida: Ropa / Hombres / Ternos,Talla,"46,48,50,52,54,56,58"
adams_tmpl_chaleco_ch_25b231291_1,Chaleco CH-25B231291-1,Goods,43.39,0.00,0.0,Categoría sugerida: Sin Categoria,Color,Azul Marino
adams_tmpl_chaleco_ch_25b231291_1,Chaleco CH-25B231291-1,Goods,43.39,0.00,0.0,Categoría sugerida: Sin Categoria,Marca,Bruno Cassini
adams_tmpl_chaleco_ch_25b231291_1,Chaleco CH-25B231291-1,Goods,43.39,0.00,0.0,Categoría sugerida: Sin Categoria,Talla,"46,48,50,52,54,56,58"
adams_tmpl_chaleco_ch_25c0905_101,Chaleco CH-25C0905-101,Goods,43.39,0.00,0.0,Categoría sugerida: Sin Categoria,Marca,Bruno Cassini
adams_tmpl_chaleco_ch_25c0905_101,Chaleco CH-25C0905-101,Goods,43.39,0.00,0.0,Categoría sugerida: Sin Categoria,Talla,"46,48,50,52,54,56,58"
adams_tmpl_terno_25c0905_101bc_2,Terno 25C0905-101BC-2,Goods,260.78,0.00,0.0,Categoría sugerida: Ropa / Hombres / Ternos,Marca,Bruno Cassini
adams_tmpl_terno_25c0905_101bc_2,Terno 25C0905-101BC-2,Goods,260.78,0.00,0.0,Categoría sugerida: Ropa / Hombres / Ternos,Talla,"46,48,50,52,54,56,58"
adams_tmpl_chaleco_ch_25c35289_93,Chaleco CH-25C35289-93,Goods,43.39,0.00,0.0,Categoría sugerida: Sin Categoria,Color,Azul
adams_tmpl_chaleco_ch_25c35289_93,Chaleco CH-25C35289-93,Goods,43.39,0.00,0.0,Categoría sugerida: Sin Categoria,Marca,Bruno Cassini
adams_tmpl_chaleco_ch_25c35289_93,Chaleco CH-25C35289-93,Goods,43.39,0.00,0.0,Categoría sugerida: Sin Categoria,Talla,"46,48,50,52,54,56,58"
adams_tmpl_chaleco_ch_25c29375_56,Chaleco CH-25C29375-56,Goods,43.39,0.00,0.0,Categoría sugerida: Sin Categoria,Color,Azul Marino
adams_tmpl_chaleco_ch_25c29375_56,Chaleco CH-25C29375-56,Goods,43.39,0.00,0.0,Categoría sugerida: Sin Categoria,Marca,Bruno Cassini
adams_tmpl_chaleco_ch_25c29375_56,Chaleco CH-25C29375-56,Goods,43.39,0.00,0.0,Categoría sugerida: Sin Categoria,Talla,"46,48,50,52,54,56,58"
adams_tmpl_terno_25b231291_1bc_2,Terno 25B231291-1BC-2,Goods,260.78,0.00,0.0,Categoría sugerida: Ropa / Hombres / Ternos,Color,Azul Marino
adams_tmpl_terno_25b231291_1bc_2,Terno 25B231291-1BC-2,Goods,260.78,0.00,0.0,Categoría sugerida: Ropa / Hombres / Ternos,Marca,Bruno Cassini
adams_tmpl_terno_25b231291_1bc_2,Terno 25B231291-1BC-2,Goods,260.78,0.00,0.0,Categoría sugerida: Ropa / Hombres / Ternos,Talla,"46,48,50,52,54,56,58"
adams_tmpl_terno_25c35289_93bc_2,Terno 25C35289-93BC-2,Goods,260.78,0.00,0.0,Categoría sugerida: Ropa / Hombres / Ternos,Color,Azul
adams_tmpl_terno_25c35289_93bc_2,Terno 25C35289-93BC-2,Goods,260.78,0.00,0.0,Categoría sugerida: Ropa / Hombres / Ternos,Marca,Bruno Cassini
adams_tmpl_terno_25c35289_93bc_2,Terno 25C35289-93BC-2,Goods,260.78,0.00,0.0,Categoría sugerida: Ropa / Hombres / Ternos,Talla,"46,48,50,52,54,56,58"
adams_tmpl_terno_25e27112_6bc_2,Terno 25E27112-6BC-2,Goods,260.78,0.00,0.0,Categoría sugerida: Ropa / Hombres / Ternos,Color,Azul Marino
adams_tmpl_terno_25e27112_6bc_2,Terno 25E27112-6BC-2,Goods,260.78,0.00,0.0,Categoría sugerida: Ropa / Hombres / Ternos,Marca,Bruno Cassini
adams_tmpl_terno_25e27112_6bc_2,Terno 25E27112-6BC-2,Goods,260.78,0.00,0.0,Categoría sugerida: Ropa / Hombres / Ternos,Talla,"46,48,50,52,54,56,58"
adams_tmpl_m_short_p_dama_napole_blanco_beige,M. SHORT P/DAMA NAPOLE BLANCO/BEIGE,Goods,47.74,0.00,0.0,Categoría sugerida: Ropa / Mujeres,Color,Blanco
adams_tmpl_m_short_p_dama_napole_blanco_beige,M. SHORT P/DAMA NAPOLE BLANCO/BEIGE,Goods,47.74,0.00,0.0,Categoría sugerida: Ropa / Mujeres,Talla,"L,M,S,XS"
adams_tmpl_m_short_p_dama_napole_blanco_azul,M. SHORT P/DAMA NAPOLE BLANCO/AZUL,Goods,47.74,0.00,0.0,Categoría sugerida: Ropa / Mujeres,Color,Multicolor
adams_tmpl_m_short_p_dama_napole_blanco_azul,M. SHORT P/DAMA NAPOLE BLANCO/AZUL,Goods,47.74,0.00,0.0,Categoría sugerida: Ropa / Mujeres,Talla,"L,M,S,XS"
adams_tmpl_m_camisa_p_dama_napoli_overside_azul,M. CAMISA P/DAMA NAPOLI OVERSIDE AZUL,Goods,65.13,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Blusas,Color,Azul
adams_tmpl_m_camisa_p_dama_napoli_overside_azul,M. CAMISA P/DAMA NAPOLI OVERSIDE AZUL,Goods,65.13,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Blusas,Talla,"M,S"
adams_tmpl_m_camisa_p_dama_napoli_overside_beige,M. CAMISA P/DAMA NAPOLI OVERSIDE BEIGE,Goods,65.13,0.00,0.0,Categoría sugerida: Ropa / Mujeres / Blusas,Talla,"M,S"
adams_tmpl_zapato_zp_cassini_ps_pt_blk,Zapato ZP-CASSINI-PS-PT-BLK,Goods,152.09,0.00,0.0,Categoría sugerida: Ropa / Hombres / Zapatos,Color,Negro
adams_tmpl_zapato_zp_cassini_ps_pt_blk,Zapato ZP-CASSINI-PS-PT-BLK,Goods,152.09,0.00,0.0,Categoría sugerida: Ropa / Hombres / Zapatos,Marca,Bruno Cassini
adams_tmpl_zapato_zp_cassini_ps_pt_blk,Zapato ZP-CASSINI-PS-PT-BLK,Goods,152.09,0.00,0.0,Categoría sugerida: Ropa / Hombres / Zapatos,Talla,"10,30,5.5,6,6.5,7,7.5,8,8.5,9,9.5"
adams_tmpl_zapato_zp_50224_cassini_vn,Zapato ZP-50224-CASSINI-VN,Goods,152.09,0.00,0.0,Categoría sugerida: Ropa / Hombres / Zapatos,Color,Vino
adams_tmpl_zapato_zp_50224_cassini_vn,Zapato ZP-50224-CASSINI-VN,Goods,152.09,0.00,0.0,Categoría sugerida: Ropa / Hombres / Zapatos,Marca,Bruno Cassini
adams_tmpl_zapato_zp_50224_cassini_vn,Zapato ZP-50224-CASSINI-VN,Goods,152.09,0.00,0.0,Categoría sugerida: Ropa / Hombres / Zapatos,Talla,"10,6.5,7,7.5,8,8.5,9,9.5"
adams_tmpl_pantalon_pt_25c29118_13,Pantalon PT-25C29118-13,Goods,47.74,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,Color,Azul Marino
adams_tmpl_pantalon_pt_25c29118_13,Pantalon PT-25C29118-13,Goods,47.74,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,Marca,Bruno Cassini
adams_tmpl_pantalon_pt_25c29118_13,Pantalon PT-25C29118-13,Goods,47.74,0.00,0.0,Categoría sugerida: Ropa / Hombres / Pantalones,Talla,38
adams_tmpl_leva_lv_25c29118_13,Leva LV-25C29118-13,Goods,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,Color,Azul Marino
adams_tmpl_leva_lv_25c29118_13,Leva LV-25C29118-13,Goods,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,Marca,Bruno Cassini
adams_tmpl_leva_lv_25c29118_13,Leva LV-25C29118-13,Goods,173.83,0.00,0.0,Categoría sugerida: Ropa / Hombres / Levas,Talla,54
adams_tmpl_h_corbata_p_caballero_navy_labrado_punto,H CORBATA P/CABALLERO NAVY LABRADO PUNTO,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Azul Marino
adams_tmpl_h_corbata_p_caballero_navy_labrado_linea,H CORBATA P/CABALLERO NAVY LABRADO LINEA,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Azul Marino
adams_tmpl_h_corbata_p_caballero_azul_puntos_negros,H CORBATA P/CABALLERO AZUL PUNTOS NEGROS,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Multicolor
adams_tmpl_h_corbata_p_caballero_azul_rombo,H CORBATA P/CABALLERO AZUL ROMBO,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Azul
adams_tmpl_h_corbata_p_caballero_azul_puntos,H CORBATA P/CABALLERO AZUL PUNTOS,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Azul
adams_tmpl_h_corbata_p_caballero_azul_zigzag_diag,H CORBATA P/CABALLERO AZUL ZIGZAG DIAG,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Azul
adams_tmpl_h_corbata_p_caballero_azul_linea_diag,H CORBATA P/CABALLERO AZUL LINEA DIAG,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Azul
adams_tmpl_h_corbata_p_caballero_black_linea_punto_blanco,H CORBATA P/CABALLERO BLACK LINEA-PUNTO BLANCO,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Multicolor
adams_tmpl_h_corbata_p_caballeros_black_lineas_diag,H CORBATA P/CABALLEROS BLACK LINEAS DIAG,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Negro
adams_tmpl_h_corbata_p_caballero_gris_labrado,H CORBATA P/CABALLERO GRIS LABRADO,Goods,21.65,0.00,0.0,Categoría sugerida: Ropa / Hombres / Corbatas,Color,Gris
