External ID,Name,Product Type,Product Category,Sales Price,Cost,Can be Sold,Can be Purchased,is_storable,available_in_pos,Product Attributes / Attribute,Product Attributes / Values,Product Attributes / Create Variants
product_template_ve_carson_vn,VESTIDO CARSON VINO,Goods,Ropa / Mujeres / Vestidos,156.43,0.00,True,True,True,True,Talla,"L,XL",
product_template_ve_carson_vn,VESTIDO CARSON VINO,Goods,Ropa / Mujeres / Vestidos,156.43,0.00,True,True,True,True,Color,Vino,
product_template_set_chris_wh,SET CHRISTINE WHITE,Goods,Sin Categoria,166.87,0.00,True,True,True,True,Talla,"L,M,XL",
product_template_set_chris_wh,SET CHRISTINE WHITE,Goods,Sin Categoria,166.87,0.00,True,True,True,True,Color,Blanco,
product_template_set_meg_ylw,SET MEGHAN YELLOW,Goods,Sin Categoria,208.61,0.00,True,True,True,True,Talla,L,
product_template_pt_25c29118_10,Pantalon PT-25C29118-10,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Talla,32,
product_template_pt_25c29118_10,Pantalon PT-25C29118-10,Goods,Ropa / Hombres / Pantalones,47.74,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_zp_0907_brw,Zapato ZP-0907-BRW,Goods,Ropa / Hombres / Zapatos,152.09,0.00,True,True,True,True,Talla,"6.5,7,7.5,8,8.5,9,9.5,10",
product_template_zp_0907_brw,Zapato ZP-0907-BRW,Goods,Ropa / Hombres / Zapatos,152.09,0.00,True,True,True,True,Marca,Bruno Cassini,
product_template_sl_line,H. CORBATA P/CABALLEROS LINEAS DIAGONALES,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,,,
product_template_sl_slt,H. CORBATA P/CABALLEROS SLATE,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,,,
product_template_sl_org,H. CORBATA P/CABALLEROS ORANGE,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,,,
product_template_sl_pur,H. CORBATA P/CABALLEROS PURPLE,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,,,
product_template_sl_red,H. CORBATA P/CABALLEROS RED,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Color,Rojo,
product_template_sl_par,H. CORBATA P/CABALLEROS PALO ROSA,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,,,
product_template_sl_slm,H. CORBATA P/CABALLEROS SALMON,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,,,
product_template_sl_mok,H. CORBATA P/CABALLEROS MOKA,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,,,
product_template_sl_wine,H. CORBATA P/CABALLEROS WINE,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Color,Vino,
product_template_sl_gld,H. CORBATA P/CABALLEROS GOLD,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,,,
product_template_sl_camel,H. CORBATA P/CABALLEROS CAMELL,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,,,
product_template_sl_bge,H. CORBATA P/CABALLEROS BEIGE,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,,,
product_template_sl_gray,H. CORBATA P/CABALLEROS GREY,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Color,Gris,
product_template_sl_dgrey,H. CORBATA P/CABALLEROS DARK GREY,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Color,Gris,
product_template_sl_green,H. CORBATA P/CABALLEROS GREEN,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Color,Verde,
product_template_sl_skbl,H. CORBATA P/CABALLEROS SKY BLUE,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Color,Azul,
product_template_sl_blue,H. CORBATA P/CABALLEROS BLUE,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Color,Azul,
product_template_sl_navy,H. CORBATA P/CABALLEROS NAVY,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Color,Azul Marino,
product_template_sl_black,H. CORBATA P/CABALLEROS BLACK,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Color,Negro,
product_template_ve_lucero_nvy,VESTIDO LUCERO NAVY,Goods,Ropa / Mujeres / Vestidos,138.17,0.00,True,True,True,True,Talla,"L,XL",
product_template_ve_lucero_nvy,VESTIDO LUCERO NAVY,Goods,Ropa / Mujeres / Vestidos,138.17,0.00,True,True,True,True,Color,Azul Marino,
product_template_ve_katya_pk,VESTIDO KATYA PINK,Goods,Ropa / Mujeres / Vestidos,133.83,0.00,True,True,True,True,Talla,L,
product_template_ve_katya_az,VESTIDO KATYA AZUL,Goods,Ropa / Mujeres / Vestidos,133.83,0.00,True,True,True,True,Talla,XL,
product_template_ve_katya_az,VESTIDO KATYA AZUL,Goods,Ropa / Mujeres / Vestidos,133.83,0.00,True,True,True,True,Color,Azul,
product_template_ve_nino_bge,VESTIDO NINOSKA BEIGE,Goods,Ropa / Niños,108.61,0.00,True,True,True,True,Talla,"L,M,S",
