DISTRIBUCIONES LORTIZ DIST LORTIZ DLORTIZ S.A.;;;;;;;;;;;;;;;;;;
Reporte de Saldos de Inventario por Bodega;;;;;;;;;;;;;;;;;;
Fecha de Corte: 2026-05-08;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Código;Categoría;Producto;Unidad;Código de catálogo;PVP;Costo;Marca;Almacenes;Bodegas Principales;Bodegas Showroom;Oficina Adams;Bodega Mercaderia en Transito;Bodega 2;Bodega Web;BODEGAS BATAN;Bodegas Muestras;BODEGAS TEMPORALES LAVANDERIA;Total General
007-51BC-2/64;TERNO / CABALLERO ;TERNO 2 BOTONES XL BRUNO CASSINI;Unidad;IMP-DONYANG-27-12-2017;217,3;60,62;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
007-51BC-2/66;TERNO / CABALLERO ;TERNO 2 BOTONES XL BRUNO CASSINI;Unidad;IMP-DONYANG-27-12-2017;217,3;60,62;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
007-51BC-2/68;TERNO / CABALLERO ;TERNO 2 BOTONES XL BRUNO CASSINI;Unidad;IMP-DONYANG-27-12-2017;217,3;60,62;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
007-BLACK-BC-2/60;TERNO / CABALLERO ;H. TERNO P/CABALLERO XL DOS BOTONES BRUNO CASSINI;Unidad;20220119-CASSINI;217,3;47,17;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
007-BLACK-BC-2/62;TERNO / CABALLERO ;H. TERNO P/CABALLERO XL DOS BOTONES BRUNO CASSINI;Unidad;20220119-CASSINI;217,3;47,17;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
007-BLACK-BC-2/64;TERNO / CABALLERO ;H. TERNO P/CABALLERO XL DOS BOTONES BRUNO CASSINI;Unidad;20220119-CASSINI;217,3;47,17;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
007-BLACK-BC-2/66;TERNO / CABALLERO ;H. TERNO P/CABALLERO XL DOS BOTONES BRUNO CASSINI;Unidad;20220119-CASSINI;217,3;47,17;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
007-BLACK-BC-2/68;TERNO / CABALLERO ;H. TERNO P/CABALLERO XL DOS BOTONES BRUNO CASSINI;Unidad;20220119-CASSINI;217,3;47,17;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
007-BLACK-BC-2/70;TERNO / CABALLERO ;H. TERNO P/CABALLERO XL DOS BOTONES BRUNO CASSINI;Unidad;20220119-CASSINI;217,3;47,17;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
007-ZOLEY-PANT/L;PANTALON / DAMA ;PANTALON LINO ZOLEY ARENA;Unidad;18 NOVIEMBRE 2024- KERLY LLERENA;51,22;22,25;;1,00;;;;;;;;;;1,00
007-ZOLEY-PANT/M;PANTALON / DAMA ;PANTALON LINO ZOLEY ARENA;Unidad;18 NOVIEMBRE 2024- KERLY LLERENA;51,22;22,25;;1,00;;;;;;;;;;1,00
007-ZOLEY-TOP/L;TOP / DAMAS;TOP LINO ZOLEY ARENA;Unidad;18 NOVIEMBRE 2024- KERLY LLERENA;43,39;22,25;;1,00;;;;;;;;;;1,00
007-ZOLEY-TOP/M;TOP / DAMAS;TOP LINO ZOLEY ARENA;Unidad;18 NOVIEMBRE 2024- KERLY LLERENA;43,39;22,25;;;;;;;;;;;;0,00
008-14BC-2/46;TERNO / CABALLERO ;H. TERNO P/CABALLERO SMOKING CASSINI GRAY;Unidad;20251209-HALOTEX-CASSINI;304,26;45,64;CASSINI TERNOS - CABALLEROS;2,00;1,00;;;;;;1,00;;;4,00
008-14BC-2/48;TERNO / CABALLERO ;H. TERNO P/CABALLERO SMOKING CASSINI GRAY;Unidad;20251209-HALOTEX-CASSINI;304,26;45,64;CASSINI TERNOS - CABALLEROS;3,00;4,00;;;;;;1,00;;;8,00
008-14BC-2/50;TERNO / CABALLERO ;H. TERNO P/CABALLERO SMOKING CASSINI GRAY;Unidad;20251209-HALOTEX-CASSINI;304,26;45,64;CASSINI TERNOS - CABALLEROS;4,00;7,00;;1,00;;;;1,00;;;13,00
008-14BC-2/52;TERNO / CABALLERO ;H. TERNO P/CABALLERO SMOKING CASSINI GRAY;Unidad;20251209-HALOTEX-CASSINI;304,26;45,64;CASSINI TERNOS - CABALLEROS;5,00;6,00;;;;;;1,00;;;12,00
008-14BC-2/54;TERNO / CABALLERO ;H. TERNO P/CABALLERO SMOKING CASSINI GRAY;Unidad;20251209-HALOTEX-CASSINI;304,26;45,64;CASSINI TERNOS - CABALLEROS;2,00;2,00;;;;;;1,00;;;5,00
008-14BC-2/56;TERNO / CABALLERO ;H. TERNO P/CABALLERO SMOKING CASSINI GRAY;Unidad;20251209-HALOTEX-CASSINI;304,26;45,64;CASSINI TERNOS - CABALLEROS;2,00;2,00;;;;;;1,00;;;5,00
008-14BC-2/58;TERNO / CABALLERO ;H. TERNO P/CABALLERO SMOKING CASSINI GRAY;Unidad;20251209-HALOTEX-CASSINI;304,26;45,64;CASSINI TERNOS - CABALLEROS;1,00;1,00;;;;;;1,00;;;3,00
008-1BC-1/50;TERNO / CABALLERO ;TERNO SMOKING 1 BOTON BRUNO CASSINI;Unidad;IMP-DONYANG-06-12-2017;191,22;76,31;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-1BC-1/52;TERNO / CABALLERO ;TERNO SMOKING 1 BOTON BRUNO CASSINI;Unidad;IMP-DONYANG-06-12-2017;191,22;76,31;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-1BC-1/54;TERNO / CABALLERO ;TERNO SMOKING 1 BOTON BRUNO CASSINI;Unidad;IMP-DONYANG-06-12-2017;191,22;76,31;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-1BC-1/56;TERNO / CABALLERO ;TERNO SMOKING 1 BOTON BRUNO CASSINI;Unidad;IMP-DONYANG-06-12-2017;191,22;76,31;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-1BC-1/58;TERNO / CABALLERO ;TERNO SMOKING 1 BOTON BRUNO CASSINI;Unidad;IMP-DONYANG-06-12-2017;191,22;76,31;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-1BC-1/60;TERNO / CABALLERO ;TERNO SMOKING 1 BOTON XL BRUNO CASSINI;Unidad;IMP-DONYANG-06-12-2017;278,17;60,62;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-1BC-1/62;TERNO / CABALLERO ;TERNO SMOKING 1 BOTON XL BRUNO CASSINI;Unidad;IMP-DONYANG-06-12-2017;278,17;60,62;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-1BC-1/64;TERNO / CABALLERO ;TERNO SMOKING 1 BOTON XL BRUNO CASSINI;Unidad;IMP-DONYANG-06-12-2017;278,17;60,62;CASSINI TERNOS - CABALLEROS;;;;;;;;1,00;;;1,00
008-1BC-1/66;TERNO / CABALLERO ;TERNO SMOKING 1 BOTON XL BRUNO CASSINI;Unidad;IMP-DONYANG-06-12-2017;278,17;60,62;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-1BC-1/68;TERNO / CABALLERO ;TERNO SMOKING 1 BOTON XL BRUNO CASSINI;Unidad;IMP-DONYANG-06-12-2017;278,17;60,62;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-3BC-1/46;TERNO / CABALLERO ;H. TERNO P/CABALLERO SMOKING CASSINI NAVY;Unidad;20251209-HALOTEX-CASSINI;304,26;45,64;CASSINI TERNOS - CABALLEROS;2,00;2,00;;;;;;1,00;;;5,00
008-3BC-1/48;TERNO / CABALLERO ;H. TERNO P/CABALLERO SMOKING CASSINI NAVY;Unidad;20251209-HALOTEX-CASSINI;304,26;45,64;CASSINI TERNOS - CABALLEROS;3,00;4,00;;;;;;1,00;;;8,00
008-3BC-1/50;TERNO / CABALLERO ;H. TERNO P/CABALLERO SMOKING CASSINI NAVY;Unidad;20251209-HALOTEX-CASSINI;304,26;45,64;CASSINI TERNOS - CABALLEROS;5,00;4,00;;1,00;;;;1,00;;;11,00
008-3BC-1/52;TERNO / CABALLERO ;H. TERNO P/CABALLERO SMOKING CASSINI NAVY;Unidad;20251209-HALOTEX-CASSINI;304,26;45,64;CASSINI TERNOS - CABALLEROS;4,00;4,00;;;;;;1,00;;;9,00
008-3BC-1/54;TERNO / CABALLERO ;H. TERNO P/CABALLERO SMOKING CASSINI NAVY;Unidad;20251209-HALOTEX-CASSINI;304,26;45,64;CASSINI TERNOS - CABALLEROS;2,00;1,00;;;;;;1,00;;;4,00
008-3BC-1/56;TERNO / CABALLERO ;H. TERNO P/CABALLERO SMOKING CASSINI NAVY;Unidad;20251209-HALOTEX-CASSINI;304,26;45,64;CASSINI TERNOS - CABALLEROS;2,00;2,00;;;;;;1,00;;;5,00
008-3BC-1/58;TERNO / CABALLERO ;H. TERNO P/CABALLERO SMOKING CASSINI NAVY;Unidad;20251209-HALOTEX-CASSINI;304,26;45,64;CASSINI TERNOS - CABALLEROS;1,00;1,00;;;;;;1,00;;;3,00
