DISTRIBUCIONES LORTIZ DIST LORTIZ DLORTIZ S.A.;;;;;;;;;;;;;;;;;;
Reporte de Saldos de Inventario por Bodega;;;;;;;;;;;;;;;;;;
Fecha de Corte: 2026-05-08;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Código;Categoría;Producto;Unidad;Código de catálogo;PVP;Costo;Marca;Almacenes;Bodegas Principales;Bodegas Showroom;Oficina Adams;Bodega Mercaderia en Transito;Bodega 2;Bodega Web;BODEGAS BATAN;Bodegas Muestras;BODEGAS TEMPORALES LAVANDERIA;Total General
11701DC-15-S2;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 34-35;Unidad;20240307-CASSINI-YIWU;65,13;13,29;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11701DC-15.5-S1;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 32-33;Unidad;20240307-CASSINI-YIWU;65,13;13,29;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11701DC-15.5-S2;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 34-35;Unidad;20240307-CASSINI-YIWU;65,13;13,29;CASSINI CAMISAS CABALLEROS;;;;;;1,00;;;;;1,00
11701DC-16-S1;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 32-33;Unidad;20240307-CASSINI-YIWU;65,13;13,29;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11701DC-16-S2;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 34-35;Unidad;20240307-CASSINI-YIWU;65,13;12,36;CASSINI CAMISAS CABALLEROS;1,00;;;;;;;;;;1,00
11701DC-16.5-S1;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 32-33;Unidad;20240307-CASSINI-YIWU;65,13;13,29;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11701DC-16.5-S2;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 34-35;Unidad;20240307-CASSINI-YIWU;65,13;13,29;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11701DC-17-S1;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 32-33;Unidad;20240307-CASSINI-YIWU;65,13;12,36;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11701DC-17-S2;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 34-35;Unidad;20240307-CASSINI-YIWU;65,13;11,81;CASSINI CAMISAS CABALLEROS;1,00;;;;;;;;;;1,00
11701DC-17.5-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 32-33;Unidad;20240307-CASSINI-YIWU;65,13;9,09;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11701DC-17.5-S2;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 34-35;Unidad;20240307-CASSINI-YIWU;65,13;13,29;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11704-14.5-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI BLUE 32-33;Unidad;20260123-YIWU-CASSINI;56,43;10,56;CASSINI CAMISAS CABALLEROS;1,00;2,00;;;;;;1,00;;;4,00
11704-15-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI BLUE 32-33;Unidad;20260123-YIWU-CASSINI;56,43;10,56;CASSINI CAMISAS CABALLEROS;2,00;;;;;;;1,00;;;3,00
11704-15-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI BLUE 34-35;Unidad;20260123-YIWU-CASSINI;56,43;10,56;CASSINI CAMISAS CABALLEROS;1,00;1,00;;;;;;1,00;;;3,00
11704-15.5-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI BLUE 32-33;Unidad;20260123-YIWU-CASSINI;56,43;10,56;CASSINI CAMISAS CABALLEROS;1,00;2,00;;;;;;1,00;;;4,00
11704-15.5-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI BLUE 34-35;Unidad;20260123-YIWU-CASSINI;56,43;10,56;CASSINI CAMISAS CABALLEROS;3,00;1,00;;;;;;1,00;;;5,00
11704-16-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI BLUE 32-33;Unidad;20260123-YIWU-CASSINI;56,43;10,56;CASSINI CAMISAS CABALLEROS;1,00;1,00;;;;;;;;;2,00
11704-16-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI BLUE 34-35;Unidad;20260123-YIWU-CASSINI;56,43;10,56;CASSINI CAMISAS CABALLEROS;1,00;1,00;;;;;;1,00;;;3,00
11704-16.5-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI BLUE 32-33;Unidad;20260123-YIWU-CASSINI;56,43;10,56;CASSINI CAMISAS CABALLEROS;1,00;;;;;;;1,00;;;2,00
11704-16.5-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI BLUE 34-35;Unidad;20260123-YIWU-CASSINI;56,43;10,56;CASSINI CAMISAS CABALLEROS;1,00;2,00;;;;;;1,00;;;4,00
11704-17-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI BLUE 32-33;Unidad;20260123-YIWU-CASSINI;56,43;10,56;CASSINI CAMISAS CABALLEROS;1,00;1,00;;;;;;;;;2,00
11704-17-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI BLUE 34-35;Unidad;20260123-YIWU-CASSINI;56,43;10,56;CASSINI CAMISAS CABALLEROS;1,00;;;;;;;1,00;;;2,00
11704-17.5-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI BLUE 34-35;Unidad;20260123-YIWU-CASSINI;56,43;10,56;CASSINI CAMISAS CABALLEROS;;1,00;;;;;;1,00;;;2,00
117152;VESTIDOS DE FIESTA;VESTIDO LARGO ALEX EVENING;Unidad;;209,73;91,24;VESTIDOS AURA DEFAS 2018;1,00;;;;;;;;;;1,00
118974;VESTIDO;VESTIDO LARGO MONTAGE BY MON CHERRY;Unidad;;209,73;91,24;VESTIDOS AURA DEFAS 2018;;;;;;;;;;;0,00
11901-14.5-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 32-33;Unidad;2022-05-12-CASSINI-CHINA;43,39;10,32;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11901-15-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 32-33;Unidad;2022-05-12-CASSINI-CHINA;43,39;10,32;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11901-15-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 34-35;Unidad;2022-05-12-CASSINI-CHINA;43,39;10,32;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11901-15.5-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 32-33;Unidad;2022-05-12-CASSINI-CHINA;43,39;10,32;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11901-15.5-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 34-35;Unidad;2022-05-12-CASSINI-CHINA;43,39;10,32;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11901-16-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 32-33;Unidad;2022-05-12-CASSINI-CHINA;43,39;10,32;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11901-16-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 34-35;Unidad;2022-05-12-CASSINI-CHINA;43,39;10,32;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11901-16.5-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 32-33;Unidad;2022-05-12-CASSINI-CHINA;43,39;10,32;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11901-16.5-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 34-35;Unidad;2022-05-12-CASSINI-CHINA;43,39;10,32;CASSINI CAMISAS CABALLEROS;1,00;;;;;;;;;;1,00
11901-17-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 32-33;Unidad;2022-05-12-CASSINI-CHINA;43,39;10,32;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11901-17-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 34-35;Unidad;2022-05-12-CASSINI-CHINA;43,39;10,32;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11901-17.5-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 34-35;Unidad;2022-05-12-CASSINI-CHINA;43,39;10,32;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
11940 (32);ROPA INTERIOR DAMA;M. BRASSIER BLANCO TL 32;Unidad;;16,43;9,79;;1,00;;;;;;;;;;1,00
11978T/L;BLUSA;M. TOP DRESSY BALLON SLV;Unidad;202104-EEUU-ESTEFY;39,91;22,05;;;;;;;;;;;;0,00
11978T/M;BLUSA;M. TOP DRESSY BALLON SLV;Unidad;202104-EEUU-ESTEFY;39,91;22,05;;;;;;;;;;;;0,00
11978T/S;BLUSA;M. TOP DRESSY BALLON SLV;Unidad;202104-EEUU-ESTEFY;39,91;22,05;;;;;;;;;;;;0,00
11BSRGP;CORREA;12PC BRUSH BALLERINA ROSE GOLD;Unidad;20210104-EUU-STEFFY;12,96;19,21;;;;;;;;;;;;0,00
12-0051;ROPA DE NIÑOS;BLUSAS STRECH NINA KIDS&CO;Unidad;;17,8;2,35;;;;;;;;;;;;0,00
12-3954;BISUTERIA;COLLAR;Unidad;;33,83;19;BISUTERIA Y PERFUMES;1,00;;;;;;;;;;1,00
120-1803;CORREA;CINTURON TED LAPIDUS;Unidad;;36,43;6,09;;;;;;;;;;;;0,00
12001-14.5-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 32-33;Unidad;2022-15-12-CASSINI-YIWU;43,39;9,16;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001-15-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 32-33;Unidad;2022-15-12-CASSINI-YIWU;43,39;9,09;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001-15-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;43,39;9,16;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001-15.5-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 32-33;Unidad;2022-15-12-CASSINI-YIWU;43,39;9,15;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001-15.5-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;43,39;9,23;CASSINI CAMISAS CABALLEROS;2,00;10,00;;;;;;1,00;;;13,00
12001-16-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 32-33;Unidad;2022-15-12-CASSINI-YIWU;43,39;9,09;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001-16-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;43,39;9,13;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001-16.5-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 32-33;Unidad;2022-15-12-CASSINI-YIWU;43,39;9,13;CASSINI CAMISAS CABALLEROS;1,00;;;;;;;;;;1,00
12001-16.5-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;43,39;9,23;CASSINI CAMISAS CABALLEROS;1,00;14,00;;;;;;1,00;;;16,00
12001-17-S1;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 32-33;Unidad;2022-15-12-CASSINI-YIWU;43,39;9,28;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001-17-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;43,39;9,26;CASSINI CAMISAS CABALLEROS;3,00;;;;;;;1,00;;;4,00
12001-17.5-S2;CAMISA;H. CAMISA P/S BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;43,39;9,2;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001BG-17.5-S1;CAMISA;H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 32-33;Unidad;2022-15-12-CASSINI-YIWU;65,13;10,09;CASSINI CAMISAS CABALLEROS;;;;;;;;1,00;;;1,00
12001BG-17.5-S2;CAMISA;H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;65,13;10,09;CASSINI CAMISAS CABALLEROS;4,00;;;;;;;;;;4,00
12001BG-18-S1;CAMISA;H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 32-33;Unidad;2022-15-12-CASSINI-YIWU;65,13;10,09;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001BG-18-S2;CAMISA;H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;65,13;10,09;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001BG-18.5-S1;CAMISA;H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 32-33;Unidad;2022-15-12-CASSINI-YIWU;65,13;10,09;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001BG-18.5-S2;CAMISA;H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;65,13;10,09;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001BG-19-S1;CAMISA;H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 32-33;Unidad;2022-15-12-CASSINI-YIWU;65,13;10,09;CASSINI CAMISAS CABALLEROS;1,00;;;;;;;;;;1,00
12001BG-19-S2;CAMISA;H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;65,13;10,09;CASSINI CAMISAS CABALLEROS;1,00;;;;;;;;;;1,00
12001BG-19.5-S2;CAMISA;H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;65,13;10,09;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001BG-20-S2;CAMISA;H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;65,13;10,09;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001DC-14.5-S1;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 32-33;Unidad;2022-15-12-CASSINI-YIWU;65,13;9,59;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001DC-15-S1;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 32-33;Unidad;2022-15-12-CASSINI-YIWU;65,13;9,59;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001DC-15-S2;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;65,13;9,59;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001DC-15.5-S1;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 32-33;Unidad;2022-15-12-CASSINI-YIWU;65,13;9,59;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001DC-15.5-S2;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;65,13;9,59;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001DC-16-S1;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 32-33;Unidad;2022-15-12-CASSINI-YIWU;65,13;9,59;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001DC-16-S2;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;65,13;9,59;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001DC-16.5-S1;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 32-33;Unidad;2022-15-12-CASSINI-YIWU;65,13;9,59;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001DC-16.5-S2;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;65,13;9,59;CASSINI CAMISAS CABALLEROS;1,00;;;;;;;1,00;;;2,00
12001DC-17-S1;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 32-33;Unidad;2022-15-12-CASSINI-YIWU;65,13;9,59;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001DC-17-S2;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;65,13;9,59;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
12001DC-17.5-S2;CAMISA;H. CAMISA D/P BRUNO CASSINI WHITE 34-35;Unidad;2022-15-12-CASSINI-YIWU;65,13;9,59;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
1201-1/BLACK-8;ZAPATOS / DAMA;ZAPATOS OBSENA;Unidad;OBSENA CLASSIC;29,38;47,6;OBSENA ZAPATOS GOLD;;;;;;;;;;;0,00
1201-1/RED-6;ZAPATOS / DAMA;ZAPATOS OBSENA;Unidad;OBSENA CLASSIC;29,38;45,9;OBSENA ZAPATOS GOLD;;;;;;;;;;;0,00
1201-1/RED-8;ZAPATOS / DAMA;ZAPATOS OBSENA;Unidad;OBSENA CLASSIC;28,61;45,9;OBSENA ZAPATOS GOLD;;;;;;;;;;;0,00
1201-1/RED-9;ZAPATOS / DAMA;ZAPATOS OBSENA;Unidad;OBSENA CLASSIC;29,38;45,9;OBSENA ZAPATOS GOLD;;;;;;;;;;;0,00
12110BLACK-34;ROPA INTERIOR DAMA;M.BRASSIERE CHAMELA;Unidad;;18,17;10,79;;1,00;;;;;;;;;;1,00
12173;VESTIDO;VESTIDO LARGO MORGAN & CO;Unidad;;199,02;101,24;VESTIDOS AURA DEFAS 2018;;;;;;;;;;;0,00
1230433;BLUSA;BLUSA ONTWELFTH;Unidad;;44,26;22;;;;;;;;;;;;0,00
1230433/M;BLUSA;BLUSA ONTWELFTH TALLA M;Unidad;;44,26;22;;;;;;;;;;;;0,00
1230917;BLUSA;BLUSA ONTWELFTH;Unidad;;43,49;24;;;;;;;;;;;;0,00
12332WM;VESTIDOS DE FIESTA;VESTIDO LARGO MORGAN & CO;Unidad;VESTIDOS-NOV-2018;202,59;96,45;VESTIDOS-NOV-2018 AURA DEFAS;1,00;;;;;;;;;;1,00
12339;VESTIDO;VESTIDO LARGO MORGAN & CO;Unidad;;167,77;85,24;VESTIDOS AURA DEFAS 2018;;;;;;;;;;;0,00
12342-1BC-1/46;TERNO / CABALLERO ;TERNO BRUNO CASSINI 1BOTON;Unidad;;147,74;49;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
12342-1BC-1/50;TERNO / CABALLERO ;TERNO BRUNO CASSINI COMBO;Unidad;;104,26;13,75;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
1234722/L;BLUSA;M. BLUSA IN THIS TOGETHER GRAPHIC BEADED TEE TALLA L;Unidad;20201210-EEUU;30,35;18,44;;;;;;;;;;;;0,00
1234722/M;BLUSA;M. BLUSA IN THIS TOGETHER GRAPHIC BEADED TEE TALLA M;Unidad;20201210-EEUU;30,35;18,44;;;;;;;;;;;;0,00
1234722/S;BLUSA;M. BLUSA IN THIS TOGETHER GRAPHIC BEADED TEE TALLA S;Unidad;20201210-EEUU;30,35;18,44;;;;;;;;;;;;0,00
1234899;BLUSA;BLUSA VERA BLANCA;Unidad;;26;14,98;;;;;;;;;;;;0,00
1235901/L;BLUSA;M. BLUSA OOH LALA GRAPHIC TEE MAUVE TALLA L;Unidad;20201210-EEUU;26,87;15,18;;;;;;;;;;;;0,00
1235901/S;BLUSA;M. BLUSA OOH LALA GRAPHIC TEE MAUVE TALLA S;Unidad;20201210-EEUU;26,87;15,18;;;;;;;;;;;;0,00
1236073/L;BLUSA;M. BLUSA P/DAMA VIBES EMELLISHED TALLA L;Unidad;20201210-EEUU;30,35;19,16;;;;;;;;;;;;0,00
1236073/M;BLUSA;M. BLUSA P/DAMA VIBES EMELLISHED TALLA M;Unidad;20201210-EEUU;30,35;19,16;;;;;;;;;;;;0,00
1236073/S;BLUSA;M. BLUSA P/DAMA VIBES EMELLISHED TALLA S;Unidad;20201210-EEUU;30,35;19,16;;;;;;;;;;;;0,00
1236952-3-BL/L;BLUSA;M. BLUSA P/DAMA PADDED SHOULDER BLACK TALLA L;Unidad;20201210-EEUU;28,62;16;;;;;;;;;;;;0,00
1236952-3-BL/M;BLUSA;M. BLUSA P/DAMA PADDED SHOULDER BLACK TALLA M;Unidad;20201210-EEUU;28,62;16;;;;;;;;;;;;0,00
1236952-3-BL/S;BLUSA;M. BLUSA P/DAMA PADDED SHOULDER BLACK TALLA S;Unidad;20201210-EEUU;28,62;16;;;;;;;;;;;;0,00
1236952-3-RD/L;BLUSA;M. BLUSA P/DAMA RED TALLA Ñ;Unidad;20201210-EEUU;28,62;16;;;;;;;;;;;;0,00
1236952-3-RD/M;BLUSA;M. BLUSA P/DAMA RED TALLA M;Unidad;20201210-EEUU;28,62;16;;;;;;;;;;;;0,00
1236952-3-RD/S;BLUSA;M. BLUSA P/DAMA RED TALLA S;Unidad;20201210-EEUU;28,62;16;;;;;;;;;;;;0,00
12395;VESTIDO;VESTIDO CORTO MORGAN & CO;Unidad;;116,88;59,42;VESTIDOS AURA DEFAS 2018;;;;;;;;;;;0,00
12454WM;VESTIDO;VESTIDO LARGO MORGAN & CO;Unidad;;199,02;101,24;VESTIDOS AURA DEFAS 2018;;;;;;;;;;;0,00
125-0406;ROPA DE NIÑOS;SWETER P/NINO 10-18;Unidad;;15,57;6,6;;1,00;;;;;;;;;;1,00
12613-36/1B-48;TERNO / CABALLERO ;TERNO BRUNO CASSINI NEGRO (CUADROS/KAKI) - UN BOTON;Unidad;;147,74;42,35;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
12613-72/1B-48;TERNO / CABALLERO ;TERNO 1 BOTON BRUNO CASSINI;Unidad;;73,83;54,9;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
12613-72/1B-50;TERNO / CABALLERO ;TERNO BRUNO CASSINI NEGRO A CUADROS - UN BOTON;Unidad;;73,83;42,35;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
12646/4;VESTIDO;VESTIDO ENFOCUS TALLA 4;Unidad;VESTIDOS-NOV-2020;107,05;35;ROPA - EEUU - NOV 2020;;;;;;;;;;;0,00
12688/L;CHAQUETA;DENIM CROPPED JACKET;Unidad;202104-EEUU-ESTEFY;52,09;30,23;;;;;;;;;;;;0,00
12688/M;CHAQUETA;DENIM CROPPED JACKET;Unidad;202104-EEUU-ESTEFY;52,09;30,23;;;;;;;;;;;;0,00
12688/S;CHAQUETA;DENIM CROPPED JACKET;Unidad;202104-EEUU-ESTEFY;52,09;30,23;;;;;;;;;;;;0,00
1270763/L;PANTALON / DAMA ;M. PANTALON BELTED CARGO DRAPY LT. BEIGE TALLA L;Unidad;20201210-EEUU;44,55;24,58;;;;;;;;;;;;0,00
1270763/M;PANTALON / DAMA ;M. PANTALON BELTED CARGO DRAPY LT. BEIGE TALLA M;Unidad;20201210-EEUU;44,55;24,58;;;;;;;;;;;;0,00
1270763/S;PANTALON / DAMA ;M. PANTALON BELTED CARGO DRAPY LT. BEIGE TALLA S;Unidad;20201210-EEUU;44,55;24,58;;;;;;;;;;;;0,00
13-0036;ROPA DE NIÑOS;TOP DE NINAS;Unidad;;6,16;6,66;;;;;;;;;;;;0,00
13/FA450001;CAMISA;CAMISA M/C BUTTON DOWN;Unidad;;41,65;26;ANTHONY MORATO CAMISAS;;;;;;;;;;;0,00
1301-NI-CMST;CAMISETA;CAMISETA POLO VARIOS MODELOS;Unidad;;30,35;6,21;;;;;;;;;;;;0,00
1303BC-1/46;TERNO / CABALLERO ;TERNO BRUNO CASSINI 1 BOTON;Unidad;;147,74;45;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
1303BC-1/48;TERNO / CABALLERO ;TERNO BRUNO CASSINI 1 BOTON;Unidad;;147,74;45;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
1303BC-1/50;TERNO / CABALLERO ;TERNO BRUNO CASSINI 1 BOTON;Unidad;;147,74;45;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
1303BC-2/46;TERNO / CABALLERO ;TERNO BRUNO CASSINI 2 BOTONES;Unidad;;147,74;45;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
130778;VARIOS;ROPA V/MODELOS;Unidad;;39,9;12;;;;;;;;;;;;0,00
1320BC-1/50;TERNO / CABALLERO ;TERNO BRUNO CASSINI 1 BOTON;Unidad;;147,74;45;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
13243;VESTIDOS DE FIESTA;VESTIDO LARGO DAVE & JHONNTY;Unidad;;199,02;101,24;VESTIDOS AURA DEFAS 2018;;;;;;;;;;;0,00
132455-5BC-2/46;TERNO / CABALLERO ;TERNO BRUNO CASSINI 2 BOTONES;Unidad;IMP-DONYANG-23-03-2018;117,3;67,8;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
132455-5BC-2/48;TERNO / CABALLERO ;TERNO BRUNO CASSINI 2 BOTONES;Unidad;IMP-DONYANG-23-03-2018;165,13;67,8;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
132455-5BC-2/50;TERNO / CABALLERO ;TERNO BRUNO CASSINI 2 BOTONES;Unidad;IMP-DONYANG-23-03-2018;165,13;67,8;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
132455-5BC-2/52;TERNO / CABALLERO ;TERNO BRUNO CASSINI 2 BOTONES;Unidad;IMP-DONYANG-23-03-2018;117,3;67,8;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
132455-5BC-2/54;TERNO / CABALLERO ;TERNO BRUNO CASSINI 2 BOTONES;Unidad;IMP-DONYANG-23-03-2018;165,13;67,8;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
132455-5BC-2/56;TERNO / CABALLERO ;TERNO BRUNO CASSINI 2 BOTONES;Unidad;IMP-DONYANG-23-03-2018;165,13;67,8;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
132455-5BC-2/58;TERNO / CABALLERO ;TERNO BRUNO CASSINI 2 BOTONES;Unidad;IMP-DONYANG-23-03-2018;165,13;67,8;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
132499-3/46;LEVA;LEVA P/CABALLERO BRUNO CASSINI;Unidad;TERNO-ENERO-2019;126;18,74;CASSINI LEVAS/CABALLEROS;;;;;;;;;;;0,00
132499-3/48;LEVA;LEVA P/CABALLERO BRUNO CASSINI;Unidad;TERNO-ENERO-2019;126;18,74;CASSINI LEVAS/CABALLEROS;;;;;;;;;;;0,00
132499-3/50;LEVA;LEVA P/CABALLERO BRUNO CASSINI;Unidad;TERNO-ENERO-2019;126;18,74;CASSINI LEVAS/CABALLEROS;;;;;;;;;;;0,00
132499-3/52;LEVA;LEVA P/CABALLERO BRUNO CASSINI;Unidad;TERNO-ENERO-2019;126;18,74;CASSINI LEVAS/CABALLEROS;;;;;;;;;;;0,00
