sku,nombre_contifico,codigo_barra,categoria_id,marca_nombre,pvp1,costo,stock_total_contifico,estado_contifico,motivo_exclusion
188-21BC-2/48,TERNO BRUNO CASSINI 2 BOTONES,188-21BC-2/O48,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,165.13,0.00,0.00,A,stock_total_0
188-21BC-2/50,TERNO BRUNO CASSINI 2 BOTONES,188-21BC-2/O50,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,165.13,0.00,0.00,A,stock_total_0
188-21BC-2/52,TERNO BRUNO CASSINI 2 BOTONES,188-21BC-2/O52,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,165.13,0.00,0.00,A,stock_total_0
188-21BC-2/54,TERNO BRUNO CASSINI 2 BOTONES,188-21BC-2/O54,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,165.13,0.00,0.00,A,stock_total_0
188-21BC-2/56,TERNO BRUNO CASSINI 2 BOTONES,188-21BC-2/O56,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,165.13,0.00,0.00,A,stock_total_0
188-21BC-2/58,TERNO BRUNO CASSINI 2 BOTONES,188-21BC-2/O58,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,165.13,0.00,0.00,A,stock_total_0
1899312,SHORT KENNETH COLE,1899312,GEjb2BRlSkW6bVNW,,58.39,0.00,0.00,A,stock_total_0
1899357,JEAN P/DAMA KENNETH COLE,1899357,pXKdwj114tLkPbgW,,62.41,0.00,0.00,A,stock_total_0
18W DRIVE/ROUND,18W DRIVER FOR PANEL LIGHT,,lY4er4kytA76b2Lz,,3.50,0.00,0.00,A,stock_total_0
1951-32,BRASSIER ESTRAPLE ENCAJE,1951-32,wJvaMzjNi5D9bpzg,,21.65,0.00,0.00,A,stock_total_0
1986BC-1/50,TERNO BRUNO CASSINO 1 BOTON,1986BC-1/O50,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,146.00,0.00,0.00,A,stock_total_0
1BBK0450-110.OP-L,POLO P/H 100 ALGODON,043764737652,gArb6J8JHo7MbyR7,PENGUIN CAMISETAS,41.65,0.00,0.00,A,stock_total_0
1BBK0450-110.OP-XL,POLO P/H 100 ALGODON,043764737669,gArb6J8JHo7MbyR7,PENGUIN CAMISETAS,41.65,0.00,0.00,A,stock_total_0
1FMW0027OP CAMISA PENG,CAMISA M/L PENGUIN,1FMW0027OP,gDGe7K3Zfm2yen2x,PENGUIN CAMISAS,58.43,0.00,0.00,A,stock_total_0
1KXZ177R,JUMPER JORG ELLE,1KXZ177R,grRbDnR8fBwMe6L2,ROPA TRAIDA ESTEFANIA - JUNIO 2018,39.20,0.00,0.00,A,stock_total_0
1P4116,PANT. JEANS PARA DAMA,1P4116,pXKdwj114tLkPbgW,,32.00,0.00,0.00,A,stock_total_0
1RA90141,INA ROMPER,1RA90141,RYWb40xjCJE6bZ1m,,51.22,0.00,0.00,A,stock_total_0
2-4600,SUETER NATURAL EXCHANGE VAR MD,,vj6e9M8KTmAxeWBV,,14.00,0.00,0.00,A,stock_total_0
2-4844,T-SHIRT NATURAL EXCHANGE VARIO,,vj6e9M8KTmAxeWBV,,7.13,0.00,0.00,A,stock_total_0
2007BC-1/46,TERNO BRUNO CASSINI 1 BOTTON,2007BC-1/O46,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,147.74,0.00,0.00,A,stock_total_0
2007BC-1/50,TERNO BRUNO CASSINI COMBO,2007BC-1/O50,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,165.13,0.00,0.00,A,stock_total_0
2009-2A-6EC/15.5,CAMISA M/L NEGRO/HOJAS BRUNO CASSINI,2009-2A-6EC/O15.5,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,41.65,0.00,0.00,A,stock_total_0
2011-32/BLACK-27,PANTALON MUJER,2011-32/OBLACK-27,grRbDnR8fBwMe6L2,OBSENA PANTALON/JEAN,35.63,0.00,0.00,A,stock_total_0
2011-32/BLACK-28,PANTALON DE MUJER,2011-32/OBLACK-28,grRbDnR8fBwMe6L2,OBSENA PANTALON/JEAN,35.63,0.00,0.00,A,stock_total_0
2016,BLUSA REVE,2016,RYWb40xjCJE6bZ1m,,42.52,0.00,0.00,A,stock_total_0
20302,M.BRASILERA GRADUABLE,,wJvaMzjNi5D9bpzg,,14.73,0.00,0.00,A,stock_total_0
2070BC-1/46,TERNO BRUNO CASSINI 1 BOTTON,2070BC-1/O46,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,147.74,0.00,0.00,A,stock_total_0
2070BC-1/48,TERNO BRUNO CASSINI 1 BOTTON,2070BC-1/O48,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,147.74,0.00,0.00,A,stock_total_0
2070BC-1/50,TERNO BRUNO CASSINI 1 BOTTON,2070BC-1/O50,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,147.74,0.00,0.00,A,stock_total_0
2070BC-2/46,TERNO BRUNO CASSINI 2 BOTONES,2070BC-2/O46,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,147.74,0.00,0.00,A,stock_total_0
2070BC-2/48,TERNO BRUNO CASSINI 2 BOTONES,2070BC-2/O48,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,147.74,0.00,0.00,A,stock_total_0
2070BC-2/50,TERNO BRUNO CASSINI 2 BOTONES,2070BC-2/O50,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,86.87,0.00,0.00,A,stock_total_0
2070BC-2/54,TERNO BRUNO CASSINI 2 BOTONES,2070BC-2/O54,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,147.74,0.00,0.00,A,stock_total_0
2081 ME(M),M. BRASILERA MELON TL M,,wJvaMzjNi5D9bpzg,,9.14,0.00,0.00,A,stock_total_0
20PM6600,PANTALON P/DAMA,20PM6600,grRbDnR8fBwMe6L2,,82.05,0.00,0.00,A,stock_total_0
17PE042-100/16.5 S.1,CAMISA DE VESTIR P/H 100 ALGODON  WHITE 32 -33,759084799316,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-100/16.5 S.2,CAMISA DE VESTIR P/H 100 ALGODON  WHITE 34 -35,759084799408,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-100/17 S.1,CAMISA DE VESTIR P/H 100 ALGODON  WHITE 32 -33,759084799323,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-100/17 S.2,CAMISA DE VESTIR P/H 100 ALGODON  WHITE 34 -35,759084799415,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-100/17.5 S.2,CAMISA DE VESTIR P/H 100 ALGODON  WHITE 34 -35,759084799422,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-400/15 S.1,CAMISA DE VESTIR P/H 100 ALGODON BLUE 32 - 33,759084799460,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-400/15.5 S.1,CAMISA DE VESTIR P/H 100 ALGODON BLUE 32 - 33,759084799477,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-400/16 S.1,CAMISA DE VESTIR P/H 100 ALGODON BLUE 32 - 33,759084799484,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-400/16 S.2,CAMISA DE VESTIR P/H 100 ALGODON BLUE 34 - 35,759084799576,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-400/16.5 S.1,CAMISA DE VESTIR P/H 100 ALGODON BLUE 32 - 33,759084799491,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-400/16.5 S.2,CAMISA DE VESTIR P/H 100 ALGODON BLUE 34 - 35,759084799583,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
