id,Internal Reference,Barcode,Sales Price,Cost
__export__.product_product_85525_0c1e6f6e,23E4246-12/48,23E424612202548,165.13,0.00
__export__.product_product_85524_7404e36b,23E4246-12/46,23E424612202546,165.13,0.00
__export__.product_product_85523_dc0645a2,23E4246-4/60,23E424604202560,165.13,0.00
__export__.product_product_85522_93f9d966,23E4246-4/58,23E424604202558,165.13,0.00
__export__.product_product_85521_0e634589,23E4246-4/56,23E424604202556,165.13,0.00
__export__.product_product_85520_19e53097,23E4246-4/54,23E424604202554,165.13,0.00
__export__.product_product_85519_bcc2e8ed,23E4246-4/52,23E424604202552,165.13,0.00
__export__.product_product_85537_d297947e,23E4246-12-PAT/56,23E424612202556PT,173.83,0.00
__export__.product_product_85538_b26dffdc,23E4246-12-PAT/58,23E424612202558PT,173.83,0.00
__export__.product_product_85536_bfc15eca,23E4246-12-PAT/54,23E424612202554PT,173.83,0.00
__export__.product_product_85535_b4c081fb,23E4246-12-PAT/52,23E424612202552PT,173.83,0.00
__export__.product_product_85534_de8f0069,23E4246-12-PAT/50,23E424612202550PT,173.83,0.00
__export__.product_product_85511_80f8aab7,23E4246-4-PAT/52,23E424604202552PT,173.83,0.00
__export__.product_product_85510_29e3fe36,23E4246-4-PAT/50,23E424604202550PT,173.83,0.00
__export__.product_product_85509_7fc01c1f,23E4246-4-PAT/48,23E424604202548PT,173.83,0.00
__export__.product_product_85531_ba71279c,23E4246-12/60,23E424612202560,165.13,0.00
__export__.product_product_85447_1b360fb7,23E4246-13-PAT/52,23E424613202552PT,173.83,0.00
__export__.product_product_85448_26f3303a,23E4246-13-PAT/54,23E424613202554PT,173.83,0.00
__export__.product_product_85529_01be3efc,23E4246-12/56,23E424612202556,165.13,0.00
__export__.product_product_85530_604a1162,23E4246-12/58,23E424612202558,165.13,0.00
__export__.product_product_85528_5ae5ca95,23E4246-12/54,23E424612202554,165.13,0.00
__export__.product_product_85527_4301d065,23E4246-12/52,23E424612202552,165.13,0.00
__export__.product_product_85508_6b7f3a00,23E4246-4-PAT/46,23E424604202546PT,173.83,0.00
__export__.product_product_85512_64e2127a,23E4246-4-PAT/54,23E424604202554PT,173.83,0.00
__export__.product_product_85513_2fc55d11,23E4246-4-PAT/56,23E424604202556PT,173.83,0.00
__export__.product_product_85514_bfa91901,23E4246-4-PAT/58,23E424604202558PT,173.83,0.00
__export__.product_product_85532_99a74ca9,23E4246-12-PAT/46,23E424612202546PT,173.83,0.00
__export__.product_product_85533_a08b9491,23E4246-12-PAT/48,23E424612202548PT,173.83,0.00
__export__.product_product_85445_c44f1fec,23E4246-13-PAT/48,23E424613202548PT,173.83,0.00
__export__.product_product_85446_8fd17e5b,23E4246-13-PAT/50,23E424613202550PT,173.83,0.00
__export__.product_product_85539_f67773b1,VE-ELA-STP-M,VE-ELA-STP-M,198.17,0.00
__export__.product_product_85540_1cf25dfc,VE-ELA-STP-L,VE-ELA-STP-L,198.17,0.00
__export__.product_product_85544_057b5da8,VE-CLARISA-BGE-XL,VE-CLARISA-BGE-XL,182.52,0.00
__export__.product_product_85542_8ed98dc5,VE-CLARISA-BGE-M,VE-CLARISA-BGE-M,182.52,0.00
__export__.product_product_85543_85a4260b,VE-CLARISA-BGE-L,VE-CLARISA-BGE-L,182.52,0.00
__export__.product_product_85546_60ddb3c0,VE-MICAELA-PI-XL,VE-MICAELA-PI-XL,182.52,0.00
__export__.product_product_85545_acaa3417,VE-MICAELA-PI-L,VE-MICAELA-PI-L,182.52,0.00
__export__.product_product_85549_568092a2,VE-MICAELA-AZ-XL,VE-MICAELA-AZ-XL,182.52,0.00
__export__.product_product_85548_111bd446,VE-MICAELA-AZ-L,VE-MICAELA-AZ-L,182.52,0.00
__export__.product_product_85547_a20fb26d,VE-MICAELA-AZ-M,VE-MICAELA-AZ-M,182.52,0.00
__export__.product_product_85551_6f5fdb4d,VE-WHIT-BGE-XL,VE-WHIT-BGE-XL,172.09,0.00
__export__.product_product_85550_ee7d5c04,VE-WHIT-BGE-L,VE-WHIT-BGE-L,172.09,0.00
__export__.product_product_85552_bf3f5596,VE-CARSON-MUS-M,VE-CARSON-MUS-M,156.43,0.00
__export__.product_product_85553_7e92c90b,VE-CARSON-MUS-L,VE-CARSON-MUS-L,156.43,0.00
__export__.product_product_85555_7d18eb9c,VE-CARSON-VN-XL,VE-CARSON-VN-XL,156.43,0.00
__export__.product_product_85554_00611ebc,VE-CARSON-VN-L,VE-CARSON-VN-L,156.43,0.00
