Categoría,Subcategoría,Código,Código Catálogo 	,Nombre,Serie,Unidad,Marca,Costo Prom,Stock Mínimo,Stock,Total
TERNO / CABALLERO ,TERNO / CABALLERO ,008-BLACK-1/46,20260316-HALOTEX CASSINI,H. TERNO SMOKING P/CABALLERO BRUNO CASSINI/BLACK,,Unidad,CASSINI TERNOS - CABALLEROS,15.37,0.00,5.00,76.85
TERNO / CABALLERO ,TERNO / CABALLERO ,008-BLACK-1/48,20260316-HALOTEX CASSINI,H. TERNO SMOKING P/CABALLERO BRUNO CASSINI/BLACK,,Unidad,CASSINI TERNOS - CABALLEROS,8.70,0.00,8.00,69.60
TERNO / CABALLERO ,TERNO / CABALLERO ,008-BLACK-1/50,20260316-HALOTEX CASSINI,H. TERNO SMOKING P/CABALLERO BRUNO CASSINI/BLACK,,Unidad,CASSINI TERNOS - CABALLEROS,8.70,0.00,11.00,95.70
TERNO / CABALLERO ,TERNO / CABALLERO ,008-BLACK-1/52,20260316-HALOTEX CASSINI,H. TERNO SMOKING P/CABALLERO BRUNO CASSINI/BLACK,,Unidad,CASSINI TERNOS - CABALLEROS,11.79,0.00,12.00,141.48
TERNO / CABALLERO ,TERNO / CABALLERO ,008-BLACK-1/54,20260316-HALOTEX CASSINI,H. TERNO SMOKING P/CABALLERO BRUNO CASSINI/BLACK,,Unidad,CASSINI TERNOS - CABALLEROS,8.70,0.00,4.00,34.80
TERNO / CABALLERO ,TERNO / CABALLERO ,008-BLACK-1/56,20260316-HALOTEX CASSINI,H. TERNO SMOKING P/CABALLERO BRUNO CASSINI/BLACK,,Unidad,CASSINI TERNOS - CABALLEROS,26.06,0.00,8.00,208.48
TERNO / CABALLERO ,TERNO / CABALLERO ,008-BLACK-1/58,20260316-HALOTEX CASSINI,H. TERNO SMOKING P/CABALLERO BRUNO CASSINI/BLACK,,Unidad,CASSINI TERNOS - CABALLEROS,18.58,0.00,4.00,74.32
TERNO / CABALLERO ,TERNO / CABALLERO ,008-BLACK-2-BC-2/46,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI/ BLACK,,Unidad,CASSINI TERNOS - CABALLEROS,42.86,0.00,2.00,85.72
TERNO / CABALLERO ,TERNO / CABALLERO ,008-BLACK-2-BC-2/48,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI/ BLACK,,Unidad,CASSINI TERNOS - CABALLEROS,40.66,0.00,3.00,121.98
TERNO / CABALLERO ,TERNO / CABALLERO ,008-BLACK-2-BC-2/50,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI/ BLACK,,Unidad,CASSINI TERNOS - CABALLEROS,42.64,0.00,5.00,213.20
TERNO / CABALLERO ,TERNO / CABALLERO ,008-BLACK-2-BC-2/52,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI/ BLACK,,Unidad,CASSINI TERNOS - CABALLEROS,42.64,0.00,4.00,170.56
TERNO / CABALLERO ,TERNO / CABALLERO ,008-BLACK-2-BC-2/56,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI/ BLACK,,Unidad,CASSINI TERNOS - CABALLEROS,42.64,0.00,3.00,127.92
TERNO / CABALLERO ,TERNO / CABALLERO ,008-BLACK-2-BC-2/58,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI,,Unidad,CASSINI TERNOS - CABALLEROS,42.64,0.00,1.00,42.64
TERNO/NIÑO,TERNO/NIÑO,008-BLACK-3-BC-2/12,20221116-CASSINI-DONGYANG,TERNO P/NIÑO BRUNO CASSINI,,Unidad,CASSINI TERNOS NIÑOS,32.26,0.00,1.00,32.26
TERNO / CABALLERO ,TERNO / CABALLERO ,008-BLACK-B-BC-2/68,20230525-CASSINI-TERNOS,H. TERNO P/CABALLERO BIG SIZE BRUNO CASSINI,,Unidad,CASSINI TERNOS - CABALLEROS,39.70,0.00,1.00,39.70
TERNO / CABALLERO ,TERNO / CABALLERO ,008-BLACK-BC-2/46,IMP-DONYANG-23-01-2019 - 01-08-2019,TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI,,Unidad,CASSINI TERNOS - CABALLEROS,44.97,0.00,3.00,134.91
ROPA DE NIÑOS,ROPA DE NIÑOS,009-99,,BLUSA P/NINA,,Unidad,,5.00,0.00,3.00,15.00
JEANS/CABALLEROS ,JEANS/CABALLEROS ,01/FA760005,,PANTALON MORATO ROSADO/AZUL/VARIOS/BLANCO,,Unidad,ANTHONY MORATO PANTALONES,40.00,0.00,1.00,40.00
JEANS/CABALLEROS ,JEANS/CABALLEROS ,01/FA800009,,JEANS EXTRA SKINNY NARANJA/AZUL/BLANCO,,Unidad,ANTHONY MORATO PANTALONES,40.00,0.00,2.00,80.00
TOP / DAMAS,TOP / DAMAS,016-ZOLEY-TOP/L,18 NOVIEMBRE 2024- KERLY LLERENA,TOP DAMA ZOLEY FUCSIA  Y BLANCO,,Unidad,,24.90,0.00,1.00,24.90
TERNO / CABALLERO ,TERNO / CABALLERO ,025-2BC-2/56,IMP-DONYANG-23-01-2019,TERNO BRUNO CASSINI COMBO,,Unidad,CASSINI TERNOS - CABALLEROS,41.73,0.00,4.00,166.92
ROPA DE NIÑOS,ROPA DE NIÑOS,025-79086,,CONJ. P/BEBE NINA 3PCS,,Unidad,,11.98,0.00,2.00,23.96
