Categoría,Subcategoría,Código,Código Catálogo 	,Nombre,Serie,Unidad,Marca,Costo Prom,Stock Mínimo,Stock,Total
TERNO / CABALLERO ,TERNO / CABALLERO ,23A29607-32BC-2/48,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI NAVY,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,2.00,109.54
TERNO / CABALLERO ,TERNO / CABALLERO ,23A29607-32BC-2/52,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI NAVY,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,2.00,109.54
TERNO / CABALLERO ,TERNO / CABALLERO ,23A700112-12BC-2/56,20231220-HALOTEX-23098,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,47.92,0.00,3.00,143.76
TERNO / CABALLERO ,TERNO / CABALLERO ,23B11210-100BC-2/58,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,1.00,54.77
TERNO / CABALLERO ,TERNO / CABALLERO ,23C25168-220BC-2/46,20250710-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,41.99,0.00,5.00,209.95
TERNO / CABALLERO ,TERNO / CABALLERO ,23C25168-220BC-2/48,20250710-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,41.99,0.00,3.00,125.97
TERNO / CABALLERO ,TERNO / CABALLERO ,23C25168-220BC-2/50,20250710-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,41.99,0.00,2.00,83.98
TERNO / CABALLERO ,TERNO / CABALLERO ,23C25168-220BC-2/52,20250710-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,41.99,0.00,8.00,335.92
TERNO / CABALLERO ,TERNO / CABALLERO ,23C25168-220BC-2/56,20250710-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,41.99,0.00,6.00,251.94
TERNO / CABALLERO ,TERNO / CABALLERO ,23C25168-220BC-2/58,20250710-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,41.99,0.00,3.00,125.97
TERNO / CABALLERO ,TERNO / CABALLERO ,23C25168-220BC-2/60,20250710-HALOTEX-CASSINI,H. TERNO BIG SIZE BRUNO CASSINI NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,43.99,0.00,2.00,87.98
TERNO / CABALLERO ,TERNO / CABALLERO ,23C25168-220BC-2/62,20250710-HALOTEX-CASSINI,H. TERNO BIG SIZE BRUNO CASSINI NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,43.99,0.00,3.00,131.97
TERNO / CABALLERO ,TERNO / CABALLERO ,23C25168-220BC-2/64,20250710-HALOTEX-CASSINI,H. TERNO BIG SIZE BRUNO CASSINI NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,43.99,0.00,1.00,43.99
TERNO / CABALLERO ,TERNO / CABALLERO ,23C25168-220BC-2/66,20250710-HALOTEX-CASSINI,H. TERNO BIG SIZE BRUNO CASSINI NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,43.99,0.00,4.00,175.96
TERNO / CABALLERO ,TERNO / CABALLERO ,23C25168-220BC-2/68,20250710-HALOTEX-CASSINI,H. TERNO BIG SIZE BRUNO CASSINI NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,43.99,0.00,6.00,263.94
TERNO / CABALLERO ,TERNO / CABALLERO ,23C25168-220BC-2/70,20250710-HALOTEX-CASSINI,H. TERNO BIG SIZE BRUNO CASSINI NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,43.99,0.00,1.00,43.99
TERNO / CABALLERO ,TERNO / CABALLERO ,23C29118-16BC-2/46,20260316-HALOTEX CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,48.07,0.00,17.00,817.19
TERNO / CABALLERO ,TERNO / CABALLERO ,23C29118-16BC-2/48,20260316-HALOTEX CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,46.57,0.00,20.00,931.40
TERNO / CABALLERO ,TERNO / CABALLERO ,23C29118-16BC-2/50,20260316-HALOTEX CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,46.45,0.00,28.00,"1,300.60"
TERNO / CABALLERO ,TERNO / CABALLERO ,23C29118-16BC-2/52,20260316-HALOTEX CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,45.99,0.00,27.00,"1,241.73"
TERNO / CABALLERO ,TERNO / CABALLERO ,23C29118-16BC-2/54,20260316-HALOTEX CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,44.15,0.00,11.00,485.65
TERNO / CABALLERO ,TERNO / CABALLERO ,23C29118-16BC-2/56,20260316-HALOTEX CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,47.69,0.00,17.00,810.73
TERNO / CABALLERO ,TERNO / CABALLERO ,23C29118-16BC-2/58,20260316-HALOTEX CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,45.12,0.00,6.00,270.72
TERNO / CABALLERO ,TERNO / CABALLERO ,23C29386-86BC-2/50,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI GREY,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,1.00,54.77
TERNO / CABALLERO ,TERNO / CABALLERO ,23C29386-86BC-2/52,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI GREY,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,1.00,54.77
TERNO / CABALLERO ,TERNO / CABALLERO ,23C29386-86BC-2/66,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI GREY,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,1.00,54.77
TERNO / CABALLERO ,TERNO / CABALLERO ,23C29386-88BC-2/46,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,40.36,0.00,7.00,282.52
TERNO / CABALLERO ,TERNO / CABALLERO ,23C29386-88BC-2/48,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,40.36,0.00,5.00,201.80
TERNO / CABALLERO ,TERNO / CABALLERO ,23C29386-88BC-2/50,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,40.36,0.00,1.00,40.36
TERNO / CABALLERO ,TERNO / CABALLERO ,23C29386-88BC-2/52,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,40.36,0.00,1.00,40.36
TERNO / CABALLERO ,TERNO / CABALLERO ,23C29386-88BC-2/56,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,40.36,0.00,1.00,40.36
TERNO / CABALLERO ,TERNO / CABALLERO ,23E2780-N-BC-2/48,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI NAVY,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,8.00,438.16
TERNO / CABALLERO ,TERNO / CABALLERO ,23E2780-N-BC-2/50,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI NAVY,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,5.00,273.85
TERNO / CABALLERO ,TERNO / CABALLERO ,23E2780-N-BC-2/52,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI NAVY,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,9.00,492.93
TERNO / CABALLERO ,TERNO / CABALLERO ,23E2780-N-BC-2/56,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI NAVY,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,4.00,219.08
TERNO / CABALLERO ,TERNO / CABALLERO ,23E312010-1BC-2/46,20231220-HALOTEX-23098,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI GRIS,,Unidad,CASSINI TERNOS - CABALLEROS,49.78,0.00,1.00,49.78
TERNO / CABALLERO ,TERNO / CABALLERO ,23E312010-3BC-2/46,20231220-HALOTEX-23098,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,49.55,0.00,3.00,148.65
TERNO / CABALLERO ,TERNO / CABALLERO ,23E312010-3BC-2/56,20231220-HALOTEX-23098,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,49.55,0.00,1.00,49.55
TERNO / CABALLERO ,TERNO / CABALLERO ,23E312010-4BC-2/48,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI NAVY,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,2.00,84.66
TERNO / CABALLERO ,TERNO / CABALLERO ,23E312010-4BC-2/50,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI NAVY,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,4.00,169.32
TERNO / CABALLERO ,TERNO / CABALLERO ,23E312010-4BC-2/52,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI NAVY,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,4.00,169.32
TERNO / CABALLERO ,TERNO / CABALLERO ,23E312010-4BC-2/56,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI NAVY,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,3.00,126.99
TERNO / CABALLERO ,TERNO / CABALLERO ,23E312010-4BC-2/58,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI NAVY,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,2.00,84.66
TERNO / CABALLERO ,TERNO / CABALLERO ,23E312010-8BC-2/48,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI GRIS,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,1.00,54.77
TERNO / CABALLERO ,TERNO / CABALLERO ,23E312010-8BC-2/56,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI GRIS,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,1.00,54.77
TERNO / CABALLERO ,TERNO / CABALLERO ,23E3705-25BC-2/46,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,4.00,219.08
TERNO / CABALLERO ,TERNO / CABALLERO ,23E3705-25BC-2/48,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,7.00,383.39
TERNO / CABALLERO ,TERNO / CABALLERO ,23E3705-25BC-2/50,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,3.00,164.31
TERNO / CABALLERO ,TERNO / CABALLERO ,23E3705-25BC-2/52,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,1.00,54.77
TERNO / CABALLERO ,TERNO / CABALLERO ,23E3705-25BC-2/56,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,2.00,109.54
TERNO / CABALLERO ,TERNO / CABALLERO ,23E3705-25BC-2/58,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,1.00,54.77
LEVA,LEVA,23E4246-15/54,20250710-HALOTEX-CASSINI,H. LEVA P/CABALLERO BRUNO CASSINI SKY BLUE,,Unidad,CASSINI LEVAS/CABALLEROS,30.30,0.00,1.00,30.30
TERNO / CABALLERO ,TERNO / CABALLERO ,23E5296-4BC-2/48,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI GREEN,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,4.00,219.08
TERNO / CABALLERO ,TERNO / CABALLERO ,23E5296-4BC-2/50,20241123-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI GREEN,,Unidad,CASSINI TERNOS - CABALLEROS,54.77,0.00,1.00,54.77
TERNO / CABALLERO ,TERNO / CABALLERO ,23E9919-95BC-2/46,20260316-HALOTEX CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI OLIVE,,Unidad,CASSINI TERNOS - CABALLEROS,43.21,0.00,7.00,302.47
TERNO / CABALLERO ,TERNO / CABALLERO ,23E9919-95BC-2/48,20260316-HALOTEX CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI OLIVE,,Unidad,CASSINI TERNOS - CABALLEROS,43.19,0.00,9.00,388.71
TERNO / CABALLERO ,TERNO / CABALLERO ,23E9919-95BC-2/50,20260316-HALOTEX CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI OLIVE,,Unidad,CASSINI TERNOS - CABALLEROS,43.19,0.00,12.00,518.28
TERNO / CABALLERO ,TERNO / CABALLERO ,23E9919-95BC-2/52,20260316-HALOTEX CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI OLIVE,,Unidad,CASSINI TERNOS - CABALLEROS,43.19,0.00,12.00,518.28
TERNO / CABALLERO ,TERNO / CABALLERO ,23E9919-95BC-2/54,20260316-HALOTEX CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI OLIVE,,Unidad,CASSINI TERNOS - CABALLEROS,43.19,0.00,5.00,215.95
TERNO / CABALLERO ,TERNO / CABALLERO ,23E9919-95BC-2/56,20260316-HALOTEX CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI OLIVE,,Unidad,CASSINI TERNOS - CABALLEROS,43.19,0.00,6.00,259.14
TERNO / CABALLERO ,TERNO / CABALLERO ,23E9919-95BC-2/58,20260316-HALOTEX CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI OLIVE,,Unidad,CASSINI TERNOS - CABALLEROS,43.19,0.00,4.00,172.76
ROPA DE NIÑOS,ROPA DE NIÑOS,24-22377,,PIJAMA PR,,Unidad,,6.66,0.00,1.00,6.66
TERNO / CABALLERO ,TERNO / CABALLERO ,24B11210-100BC-2/48,20250710-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,41.99,0.00,2.00,83.98
TERNO / CABALLERO ,TERNO / CABALLERO ,24B3931-1BC-2/46,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI GRAY,,Unidad,CASSINI TERNOS - CABALLEROS,42.64,0.00,10.00,426.40
TERNO / CABALLERO ,TERNO / CABALLERO ,24B3931-1BC-2/48,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI GRAY,,Unidad,CASSINI TERNOS - CABALLEROS,42.64,0.00,14.00,596.96
TERNO / CABALLERO ,TERNO / CABALLERO ,24B3931-1BC-2/50,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI GRAY,,Unidad,CASSINI TERNOS - CABALLEROS,42.64,0.00,19.00,810.16
TERNO / CABALLERO ,TERNO / CABALLERO ,24B3931-1BC-2/52,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI GRAY,,Unidad,CASSINI TERNOS - CABALLEROS,42.64,0.00,17.00,724.88
TERNO / CABALLERO ,TERNO / CABALLERO ,24B3931-1BC-2/54,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI GRAY,,Unidad,CASSINI TERNOS - CABALLEROS,42.64,0.00,5.00,213.20
TERNO / CABALLERO ,TERNO / CABALLERO ,24B3931-1BC-2/56,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI GRAY,,Unidad,CASSINI TERNOS - CABALLEROS,42.64,0.00,4.00,170.56
TERNO / CABALLERO ,TERNO / CABALLERO ,24B3931-1BC-2/58,20251209-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI GRAY,,Unidad,CASSINI TERNOS - CABALLEROS,42.64,0.00,3.00,127.92
TERNO / CABALLERO ,TERNO / CABALLERO ,24C25168-219-BC-2/48,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,4.00,169.32
TERNO / CABALLERO ,TERNO / CABALLERO ,24C25168-219-BC-2/52,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,3.00,126.99
TERNO / CABALLERO ,TERNO / CABALLERO ,24C25168-219-BC-2/56,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,2.00,84.66
TERNO / CABALLERO ,TERNO / CABALLERO ,24C25168-219-BC-2/58,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI NEGRO,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,2.00,84.66
TERNO / CABALLERO ,TERNO / CABALLERO ,24C27428-65-BC-2/46,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,6.00,253.98
TERNO / CABALLERO ,TERNO / CABALLERO ,24C27428-65-BC-2/48,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,11.00,465.63
TERNO / CABALLERO ,TERNO / CABALLERO ,24C27428-65-BC-2/50,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,12.00,507.96
TERNO / CABALLERO ,TERNO / CABALLERO ,24C27428-65-BC-2/52,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,12.00,507.96
TERNO / CABALLERO ,TERNO / CABALLERO ,24C27428-65-BC-2/54,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,2.00,84.66
TERNO / CABALLERO ,TERNO / CABALLERO ,24C27428-65-BC-2/56,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,4.00,169.32
TERNO / CABALLERO ,TERNO / CABALLERO ,24C27428-65-BC-2/58,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,2.00,84.66
TERNO / CABALLERO ,TERNO / CABALLERO ,24C28061-76BC-2/46,20250710-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,43.49,0.00,6.00,260.94
TERNO / CABALLERO ,TERNO / CABALLERO ,24C28061-76BC-2/48,20250710-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,43.49,0.00,6.00,260.94
TERNO / CABALLERO ,TERNO / CABALLERO ,24C28061-76BC-2/50,20250710-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,43.49,0.00,15.00,652.35
TERNO / CABALLERO ,TERNO / CABALLERO ,24C28061-76BC-2/52,20250710-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,43.49,0.00,10.00,434.90
TERNO / CABALLERO ,TERNO / CABALLERO ,24C28061-76BC-2/54,20250710-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,43.49,0.00,1.00,43.49
TERNO / CABALLERO ,TERNO / CABALLERO ,24C28061-76BC-2/56,20250710-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,43.49,0.00,5.00,217.45
TERNO / CABALLERO ,TERNO / CABALLERO ,24C28061-76BC-2/58,20250710-HALOTEX-CASSINI,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,43.49,0.00,1.00,43.49
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29118-12BC-2/60,20250710-HALOTEX-CASSINI,H. TERNO BIG SIZE BRUNO CASSINI GRIS,,Unidad,CASSINI TERNOS - CABALLEROS,43.99,0.00,1.00,43.99
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29118-12BC-2/66,20250710-HALOTEX-CASSINI,H. TERNO BIG SIZE BRUNO CASSINI GRIS,,Unidad,CASSINI TERNOS - CABALLEROS,43.99,0.00,2.00,87.98
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29118-12BC-2/68,20250710-HALOTEX-CASSINI,H. TERNO BIG SIZE BRUNO CASSINI GRIS,,Unidad,CASSINI TERNOS - CABALLEROS,43.99,0.00,1.00,43.99
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29118-12BC-2/70,20250710-HALOTEX-CASSINI,H. TERNO BIG SIZE BRUNO CASSINI GRIS,,Unidad,CASSINI TERNOS - CABALLEROS,43.99,0.00,1.00,43.99
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29918-10-BC-2/52,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI GRIS,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,2.00,84.66
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29918-12-BC-2/50,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI DARK GRIS,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,1.00,42.33
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29918-12-BC-2/52,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI DARK GRIS,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,1.00,42.33
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29918-12-BC-2/54,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI DARK GRIS,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,1.00,42.33
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29918-12-BC-2/56,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI DARK GRIS,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,2.00,84.66
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29918-13-BC-2/48,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,6.00,253.98
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29918-13-BC-2/50,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,7.00,296.31
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29918-13-BC-2/52,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,9.00,380.97
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29918-13-BC-2/56,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,5.00,211.65
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29918-15-BC-2/46,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,1.00,42.33
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29918-15-BC-2/48,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,5.00,211.65
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29918-15-BC-2/50,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,15.00,634.95
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29918-15-BC-2/52,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,13.00,550.29
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29918-15-BC-2/54,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,5.00,211.65
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29918-15-BC-2/56,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,9.00,380.97
TERNO / CABALLERO ,TERNO / CABALLERO ,24C29918-15-BC-2/58,20250122-HALOTEX-CASSINI,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,,Unidad,CASSINI TERNOS - CABALLEROS,42.33,0.00,4.00,169.32
