External ID,Name,Product Type,Product Category,Sales Price,Cost,Can be Sold,Can be Purchased,is_storable,available_in_pos,Product Attributes / Attribute,Product Attributes / Values,Product Attributes / Create Variants
product_template_mmsl00425_fa430305_9024_46,SHIRT PRINTED FABRIC MORATO STEEL GREY,Goods,Ropa / Hombres / Camisas,73.83,0.00,True,True,True,True,Talla,S,always
product_template_mmsl00425_fa430305_9024_46,SHIRT PRINTED FABRIC MORATO STEEL GREY,Goods,Ropa / Hombres / Camisas,73.83,0.00,True,True,True,True,Color,Gris,no_variant
product_template_mmsl00425_fa430305_9024_46,SHIRT PRINTED FABRIC MORATO STEEL GREY,Goods,Ropa / Hombres / Camisas,73.83,0.00,True,True,True,True,Marca,Antony Morato,no_variant
product_template_at4266,BLUSA LOVE ENCOUNTER,Goods,Ropa / Mujeres / Blusas,38.17,0.00,True,True,True,True,Talla,L,always
product_template_9511tw,BLUSA CQ BY CQ TALLA L,Goods,Ropa / Mujeres / Blusas,46.87,0.00,True,True,True,True,Talla,"L,S",always
product_template_10896t,BLUSA IDEM DITTO TALLA L,Goods,Ropa / Mujeres / Blusas,44.26,0.00,True,True,True,True,Talla,"L,M,S",always
product_template_j11063_bleach_blue_sh,SHORT P/DAMA OBSENA,Goods,Ropa / Mujeres,11.52,0.00,True,True,True,True,Talla,28,always
product_template_43sw7026,CAMISA M/C CASUAL HOMBRE,Goods,Ropa / Hombres / Camisas,47.74,0.00,True,True,True,True,Talla,S,always
product_template_43sw7026,CAMISA M/C CASUAL HOMBRE,Goods,Ropa / Hombres / Camisas,47.74,0.00,True,True,True,True,Marca,Perry Ellis,no_variant
product_template_bmo6483,H. JEANS BUFFALO-X GARRET,Goods,Ropa / Hombres / Jeans,39.04,0.00,True,True,True,True,Talla,29,always
product_template_omo0944,H. JEANS BUFFALO MAX,Goods,Ropa / Hombres / Jeans,39.04,0.00,True,True,True,True,Talla,31,always
