sku,nombre_contifico,problema,sugerencia,raw_categoria_id,raw_marca_nombre,raw_codigo_barra
FA-35-1071-SD/46,H. LEVA P/CABALLERO SAND FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310103
FA-35-1071-WI/36,H. LEVA P/CABALLERO WINE FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310110
FA-35-1071-WI/38,H. LEVA P/CABALLERO WINE FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310127
FA-35-1071-SD/44,H. LEVA P/CABALLERO SAND FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310097
FA-35-1071-SD/40,H. LEVA P/CABALLERO SAND FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310073
FA-35-1071-SD/42,H. LEVA P/CABALLERO SAND FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310080
FA-35-1071-SD/38,H. LEVA P/CABALLERO SAND FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310066
FA-35-1071-WI/40,H. LEVA P/CABALLERO WINE FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310134
FA-35-1071-WI/42,H. LEVA P/CABALLERO WINE FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310141
FA-35-1071-WI/44,H. LEVA P/CABALLERO WINE FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310158
FA-35-1071-WI/46,H. LEVA P/CABALLERO WINE FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310165
FA-35-1073-SK/40,H. LEVA P/CABALLERO SKY FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310530
FA-35-1073-WI/36,H. LEVA P/CABALLERO WINE FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310615
FA-35-1073-SK/46,H. LEVA P/CABALLERO SKY FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310561
FA-35-1073-SK/44,H. LEVA P/CABALLERO SKY FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310554
FA-35-1073-WI/38,H. LEVA P/CABALLERO WINE FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310622
FA-35-1073-WI/40,H. LEVA P/CABALLERO WINE FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310639
FA-35-1073-WI/42,H. LEVA P/CABALLERO WINE FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310646
FA-35-1073-WI/44,H. LEVA P/CABALLERO WINE FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310653
FA-35-1073-WI/46,H. LEVA P/CABALLERO WINE FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310660
FA-35-1073-SK/36,H. LEVA P/CABALLERO SKY FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310516
FA-35-1073-SK/38,H. LEVA P/CABALLERO SKY FARIANI,SKU duplicado,Depurar duplicados,pXKdw4jpCLkPegWP,FARIANI LEVAS,0743682310523
CUWSF025-477/L,CAMISA P/H M/L PARISIAN BLUE CUBAVERA,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CUBAVERA CAMISAS,713510964272
CUWF2111-118/L,CAMISA P/H M/L BRIGHT WHITE CUBAVERA,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CUBAVERA CAMISAS,0743682127138
CUWSP501-475L/L,CAMISA P/H M/C LT. BLUE CUBAVERA,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CUBAVERA CAMISAS,0743682135461
CUWF2109-118/XL,CAMISA P/H M/C BRIGHT WHITE CUBAVERA,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CUBAVERA CAMISAS,0743682126841
CUWFD040-457/S,CAMISA P/H M/C CLEAR SKY CUBAVERA,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CUBAVERA CAMISAS,713610971157
CUWSP501-100S/S,CAMISA P/H M/C WHITE CUBAVERA,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CUBAVERA CAMISAS,0743682135294
CUWSP501-485S/L,CAMISA P/H M/C AQCUA CUBAVERA,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CUBAVERA CAMISAS,0743682135164
