"id","id","product_tmpl_id/id","product_tmpl_id/name","product_template_variant_value_ids"
"__export__.product_product_16_be6c1774","__export__.product_product_16_be6c1774","__export__.product_template_9_90baf1a5","TEST","Talla: 14.5,Manga de Camisa: S1 - 32/33"
"__export__.product_product_18_c641cf1b","__export__.product_product_18_c641cf1b","__export__.product_template_9_90baf1a5","TEST","Talla: 15,Manga de Camisa: S1 - 32/33"
"__export__.product_product_19_eb949bfb","__export__.product_product_19_eb949bfb","__export__.product_template_9_90baf1a5","TEST","Talla: 15,Manga de Camisa: S2 - 34/35"
"__export__.product_product_20_bbfbd9f1","__export__.product_product_20_bbfbd9f1","__export__.product_template_9_90baf1a5","TEST","Talla: 15.5,Manga de Camisa: S1 - 32/33"
"__export__.product_product_21_a1b3d848","__export__.product_product_21_a1b3d848","__export__.product_template_9_90baf1a5","TEST","Talla: 15.5,Manga de Camisa: S2 - 34/35"
"__export__.product_product_28_25a5ee16","__export__.product_product_28_25a5ee16","__export__.product_template_9_90baf1a5","TEST","Talla: 16,Manga de Camisa: S1 - 32/33"
"__export__.product_product_29_34239ea1","__export__.product_product_29_34239ea1","__export__.product_template_9_90baf1a5","TEST","Talla: 16,Manga de Camisa: S2 - 34/35"
"__export__.product_product_22_94f7757e","__export__.product_product_22_94f7757e","__export__.product_template_9_90baf1a5","TEST","Talla: 16.5,Manga de Camisa: S1 - 32/33"
"__export__.product_product_23_a63f9bc7","__export__.product_product_23_a63f9bc7","__export__.product_template_9_90baf1a5","TEST","Talla: 16.5,Manga de Camisa: S2 - 34/35"
"__export__.product_product_24_e8e448e8","__export__.product_product_24_e8e448e8","__export__.product_template_9_90baf1a5","TEST","Talla: 17,Manga de Camisa: S1 - 32/33"
"__export__.product_product_25_9be24158","__export__.product_product_25_9be24158","__export__.product_template_9_90baf1a5","TEST","Talla: 17,Manga de Camisa: S2 - 34/35"
"__export__.product_product_26_92b74909","__export__.product_product_26_92b74909","__export__.product_template_9_90baf1a5","TEST","Talla: 17.5,Manga de Camisa: S1 - 32/33"
"__export__.product_product_27_81507176","__export__.product_product_27_81507176","__export__.product_template_9_90baf1a5","TEST","Talla: 17.5,Manga de Camisa: S2 - 34/35"
"__export__.product_product_88311_42e21c87","__export__.product_product_88311_42e21c87","__import__.product_template_2279dw","VESTIDO CQBYCQ",""
"__export__.product_product_95359_4e17d210","__export__.product_product_95359_4e17d210","__import__.product_template_43sw7026","CAMISA M/C CASUAL HOMBRE",""
"__export__.product_product_95307_39caa463","__export__.product_product_95307_39caa463","__import__.product_template_at4266","BLUSA LOVE ENCOUNTER",""
"__export__.product_product_95389_42189277","__export__.product_product_95389_42189277","__import__.product_template_bm10814","JEANS SIX HOMBRE",""
"__export__.product_product_95386_048eb139","__export__.product_product_95386_048eb139","__import__.product_template_bm11131","JEANS DRAYANN DE HOMBRE",""
"__export__.product_product_95383_973cac07","__export__.product_product_95383_973cac07","__import__.product_template_bm13708","KING PANTALON",""
"__export__.product_product_95382_f015aced","__export__.product_product_95382_f015aced","__import__.product_template_bmo5961","H. PANTALON BUFFALO JECK",""
"__export__.product_product_95381_54006c14","__export__.product_product_95381_54006c14","__import__.product_template_bmo6226","H. PANTALON BUFFALO X-PERT",""
"__export__.product_product_95361_ee5ece2c","__export__.product_product_95361_ee5ece2c","__import__.product_template_bmo6483","H. JEANS BUFFALO-X GARRET",""
"__export__.product_product_95377_0cc4cd14","__export__.product_product_95377_0cc4cd14","__import__.product_template_bmo6604","H. JEANS BUFFALO MATHEW",""
"__export__.product_product_95376_dbe147ef","__export__.product_product_95376_dbe147ef","__import__.product_template_bmo7209","H. JEANS BUFFALO GAME",""
"__export__.product_product_95375_d7ad4ad5","__export__.product_product_95375_d7ad4ad5","__import__.product_template_bmo7217","H. JEANS BUFFALO",""
"__export__.product_product_95374_1d42983e","__export__.product_product_95374_1d42983e","__import__.product_template_bpm7120","JEANS SIMON DE HOMBRE",""
"__export__.product_product_95363_c70d4273","__export__.product_product_95363_c70d4273","__import__.product_template_bpm7775","JEANS DE HOMBRE 100 ALGODON",""
"__export__.product_product_95040_d3e0f502","__export__.product_product_95040_d3e0f502","__import__.product_template_ire90495","M. JUMPER ENTERIZO INA",""
"__export__.product_product_95362_d91355de","__export__.product_product_95362_d91355de","__import__.product_template_omo0944","H. JEANS BUFFALO MAX",""
"__export__.product_product_95552_e2d5d8c9","__export__.product_product_95552_e2d5d8c9","__import__.product_template_pul19_09","ACCESORIO - 2019-09",""
"__export__.product_product_95555_9b98b81f","__export__.product_product_95555_9b98b81f","__import__.product_template_acce19_09","ACCESORIO - 2019-09 (acce19_09)","Ancho Corbata: 6 cm,Talla: 8"
"__export__.product_product_95556_cc4ea888","__export__.product_product_95556_cc4ea888","__import__.product_template_acce19_09","ACCESORIO - 2019-09 (acce19_09)","Ancho Corbata: 6 cm,Talla: 9"
"__export__.product_product_95557_e14f5c46","__export__.product_product_95557_e14f5c46","__import__.product_template_acce19_09","ACCESORIO - 2019-09 (acce19_09)","Ancho Corbata: 7 cm,Talla: 8"
"__export__.product_product_95558_6a84625e","__export__.product_product_95558_6a84625e","__import__.product_template_acce19_09","ACCESORIO - 2019-09 (acce19_09)","Ancho Corbata: 7 cm,Talla: 9"
"__export__.product_product_96057_8ec2ee58","__export__.product_product_96057_8ec2ee58","__import__.product_template_magi","ARETES DE CRISTAL","Talla: 32"
"__export__.product_product_96058_124290f1","__export__.product_product_96058_124290f1","__import__.product_template_magi","ARETES DE CRISTAL","Talla: 38"
"__export__.product_product_96059_2fef1cb6","__export__.product_product_96059_2fef1cb6","__import__.product_template_magi","ARETES DE CRISTAL","Talla: 42"
"__export__.product_product_86720_702ffc77","__export__.product_product_86720_702ffc77","__import__.product_template_ar","ARETES P/DAMA V. MODELOS","Talla: 15"
