stock_internal_reference,location,inventory_quantity,reason
MF3870/19-FJ,BPU/Existencias,21.00,Stock SKU not found after Phase 2 mapping
MF12150/7-FJ,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
MF12150/4-FJ,BPU/Existencias,8.00,Stock SKU not found after Phase 2 mapping
MF12022/12-FJ,BPU/Existencias,6.00,Stock SKU not found after Phase 2 mapping
MF12022/9-FJ,BPU/Existencias,19.00,Stock SKU not found after Phase 2 mapping
MF12022/6-FJ,BPU/Existencias,8.00,Stock SKU not found after Phase 2 mapping
MF12022/5-FJ,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
MF12022/2-FJ,BPU/Existencias,13.00,Stock SKU not found after Phase 2 mapping
MF3870/109-FJ,BPU/Existencias,17.00,Stock SKU not found after Phase 2 mapping
MF12183/13-CO,BPU/Existencias,6.00,Stock SKU not found after Phase 2 mapping
MF12183/7-CO,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
MF12183/2-CO,BPU/Existencias,8.00,Stock SKU not found after Phase 2 mapping
MF12182/16-CO,BPU/Existencias,6.00,Stock SKU not found after Phase 2 mapping
MF12182/15-CO,BPU/Existencias,7.00,Stock SKU not found after Phase 2 mapping
MF12182/14-CO,BPU/Existencias,5.00,Stock SKU not found after Phase 2 mapping
MF12182/9-CO,BPU/Existencias,3.00,Stock SKU not found after Phase 2 mapping
MF12161/8-CO,BPU/Existencias,9.00,Stock SKU not found after Phase 2 mapping
MF12081/12-CO,BPU/Existencias,4.00,Stock SKU not found after Phase 2 mapping
MF12081/11-CO,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
MF12081/10-CO,BPU/Existencias,6.00,Stock SKU not found after Phase 2 mapping
MF12080/12-CO,BPU/Existencias,3.00,Stock SKU not found after Phase 2 mapping
MF12080/9-CO,BPU/Existencias,3.00,Stock SKU not found after Phase 2 mapping
MF12080/8-CO,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
MF12080/2-CO,BPU/Existencias,9.00,Stock SKU not found after Phase 2 mapping
P1290/13-CO,BPU/Existencias,11.00,Stock SKU not found after Phase 2 mapping
P1290/10-CO,BPU/Existencias,13.00,Stock SKU not found after Phase 2 mapping
P1290/6-CO,BPU/Existencias,10.00,Stock SKU not found after Phase 2 mapping
MF12147/12-CO,BPU/Existencias,10.00,Stock SKU not found after Phase 2 mapping
MF12173/12-CO,BPU/Existencias,10.00,Stock SKU not found after Phase 2 mapping
MF12173/8-CO,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
MF12022/9-CO,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
MF3870/13-CO,BPU/Existencias,12.00,Stock SKU not found after Phase 2 mapping
MF3870/9-CO,BPU/Existencias,6.00,Stock SKU not found after Phase 2 mapping
MF3870/3-CO,BPU/Existencias,45.00,Stock SKU not found after Phase 2 mapping
MF3870/1-CO,BPU/Existencias,3.00,Stock SKU not found after Phase 2 mapping
MF3870/115-CO,BPU/Existencias,15.00,Stock SKU not found after Phase 2 mapping
MF12026/5-CO,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
P1288/43-CO,BPU/Existencias,3.00,Stock SKU not found after Phase 2 mapping
P1288/37-CO,BPU/Existencias,48.00,Stock SKU not found after Phase 2 mapping
P1288/35-CO,BPU/Existencias,6.00,Stock SKU not found after Phase 2 mapping
P1288/15-CO,BPU/Existencias,4.00,Stock SKU not found after Phase 2 mapping
P1064/24-CO,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
P1064/22-CO,BPU/Existencias,9.00,Stock SKU not found after Phase 2 mapping
P645/42-CO,BPU/Existencias,9.00,Stock SKU not found after Phase 2 mapping
P645/37-CO,BPU/Existencias,9.00,Stock SKU not found after Phase 2 mapping
P645/33-CO,BPU/Existencias,9.00,Stock SKU not found after Phase 2 mapping
MF12072/5-CO,BPU/Existencias,3.00,Stock SKU not found after Phase 2 mapping
PAN-WINE,BPU/Existencias,44.00,Stock SKU not found after Phase 2 mapping
PAN-WHITE,BPU/Existencias,73.00,Stock SKU not found after Phase 2 mapping
PAN-SKY BLUE,BPU/Existencias,33.00,Stock SKU not found after Phase 2 mapping
PAN-RED,BPU/Existencias,61.00,Stock SKU not found after Phase 2 mapping
PAN-NAVY,BPU/Existencias,34.00,Stock SKU not found after Phase 2 mapping
PAN-GREEN,BPU/Existencias,50.00,Stock SKU not found after Phase 2 mapping
PIN-A01-VI,BPU/Existencias,18.00,Stock SKU not found after Phase 2 mapping
PIN-A01-RD,BPU/Existencias,7.00,Stock SKU not found after Phase 2 mapping
PIN-A01-SK1,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
MSK-BLACK,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
JS-CAMEO-BL/39,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
SUSPENDER-MEN/GR,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
SUSPENDER-MEN/RE,BPU/Existencias,5.00,Stock SKU not found after Phase 2 mapping
SUSPENDER-MEN/NV,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
PIN-A01-GR,BPU/Existencias,17.00,Stock SKU not found after Phase 2 mapping
PIN-A01-NVY,BPU/Existencias,24.00,Stock SKU not found after Phase 2 mapping
PIN-A01-WH,BPU/Existencias,17.00,Stock SKU not found after Phase 2 mapping
PIN-A01-BL,BPU/Existencias,21.00,Stock SKU not found after Phase 2 mapping
AG62128,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
10637,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
55809,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
56814Z,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
CORREA-AZ-1119,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
CORREA-VN-1119,BPU/Existencias,10.00,Stock SKU not found after Phase 2 mapping
CAMISA-BC,BPU/Existencias,4.00,Stock SKU not found after Phase 2 mapping
CAMISA-DP-BC,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
TGD03-150,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
PX-TGD01/50-3K,BPU/Existencias,6.00,Stock SKU not found after Phase 2 mapping
DD-3111BK/6K,BPU/Existencias,21.00,Stock SKU not found after Phase 2 mapping
2M-TRACK,BPU/Existencias,10.00,Stock SKU not found after Phase 2 mapping
1M-TRACK,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
ZMTR-25,BPU/Existencias,29.00,Stock SKU not found after Phase 2 mapping
PX-TGD01/30W,BPU/Existencias,14.00,Stock SKU not found after Phase 2 mapping
PX-TGD01/50W,BPU/Existencias,4.00,Stock SKU not found after Phase 2 mapping
D7487L,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
D7464L,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
D7545L,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
D8518L,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
D5202L,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
D8892L,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
5DSW1101-126/15.5 S1,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
5DSW1104-073/16.5 S1,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
5DSW1104-073/15.5 S1,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
4CHB8800-405/34X32,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
4CHB8800-405/30X32,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
4DFB8612-401/38X32,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
4DFB8612-401/34X32,BPU/Existencias,3.00,Stock SKU not found after Phase 2 mapping
CV-L11-061BU/42R,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
CV-L11-061BU/44R,BPU/Existencias,6.00,Stock SKU not found after Phase 2 mapping
P929/11-CO,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
S299/395-CO,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
MO61281/350-CO,BPU/Existencias,44.00,Stock SKU not found after Phase 2 mapping
MF10831/145-CO,BPU/Existencias,44.00,Stock SKU not found after Phase 2 mapping
S297/390-CO,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
MF11891/9-CO,BPU/Existencias,3.00,Stock SKU not found after Phase 2 mapping
MF11829/9-CO,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
MF11886/1-CO,BPU/Existencias,5.00,Stock SKU not found after Phase 2 mapping
P926/38-CO,BPU/Existencias,6.00,Stock SKU not found after Phase 2 mapping
S301/359-FJ,BPU/Existencias,8.00,Stock SKU not found after Phase 2 mapping
S301/352-FJ,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
S299/349-FJ,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
MF11829/1-FJ,BPU/Existencias,12.00,Stock SKU not found after Phase 2 mapping
MF11868/1-FJ,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
AL216105,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
DD-2111 BK,BPU/Existencias,18.00,Stock SKU not found after Phase 2 mapping
DD-3111-3K,BPU/Existencias,27.00,Stock SKU not found after Phase 2 mapping
YKLTB-SQ10+2W/WHT,BPU/Existencias,47.00,Stock SKU not found after Phase 2 mapping
YKLTB-SQ15+3W/WHT,BPU/Existencias,49.00,Stock SKU not found after Phase 2 mapping
TL60X120VA,BPU/Existencias,43.00,Stock SKU not found after Phase 2 mapping
TL60X120VI,BPU/Existencias,8.00,Stock SKU not found after Phase 2 mapping
SM9P9509,BPU/Existencias,4.00,Stock SKU not found after Phase 2 mapping
